Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.6/ 0.5/ -0.2), (-0.6/ 0.5/ 0.3), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.1), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.6/ 0.5/ -0.4), (-0.5/ 0.5/ 0.5), (0.1/ -0.8/ 0.0), (0.0/ -0.8/ 0.1), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ -0.1), (-0.7/ 0.5/ 0.2), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333


Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.2), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.8/ -0.4/ 0.5), 0.3333333, 0.3333333
Surprised,(0.6/ 0.5/ 0.2), (-0.7/ 0.5/ -0.1), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.8/ -0.4/ 0.4), 0.3333333, 0.3333333


Surprised,(0.6/ 0.5/ 0.2), (-0.7/ 0.5/ -0.1), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.7/ -0.3/ 0.6), 0.3333333, 0.3333333
Surprised,(0.6/ 0.5/ 0.2), (-0.7/ 0.5/ -0.1), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.7/ -0.3/ 0.6), 0.3333333, 0.3333333
Surprised,(0.6/ 0.5/ 0.2), (-0.7/ 0.5/ -0.1), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.7/ -0.3/ 0.6), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.8/ -0.3/ 0.6), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.8/ -0.3/ 0.6), 0.3333333, 0.3333333
Surprised,(0.7/ 0.5/ 0.1), (-0.7/ 0.5/ 0.0), (0.1/ -0.8/ 0.0), (-0.1/ -0.8/ 0.0), (0.0/ 0.6/ 0.0), (-0.8/ -0.3/ 0.6), 0.3333333, 0.3333333


