Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.7/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.7/ 0.1/ 0.7), (0.9/ 0.1/ 1.0), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.97662
Disgusted,(0.7/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.18888
Disgusted,(0.7/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.19395
Disgusted,(0.7/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.23646
Disgusted,(0.7/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.19958
Disgusted,(0.7/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.37494
Disgusted,(0.7/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.68893
Disgusted,(0.8/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.92162
Disgusted,(0.8/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.12106
Disgusted,(0.8/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.22228
Disgusted,(0.8/ 1.2/ 0.4), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.7), (0.9/ 0.1/ 1.1), (0.8/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.63388
