Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(0.1/ 0.8/ -0.1), (0.0/ 0.9/ -0.1), (0.1/ 0.1/ 0.0), (-0.1/ 0.1/ 0.0), (0.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,10.28786
Fearful,(0.1/ 0.8/ -0.1), (0.0/ 0.9/ -0.1), (0.1/ 0.1/ 0.0), (-0.1/ 0.1/ 0.0), (0.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,10.52414
Fearful,(0.1/ 0.8/ -0.1), (0.0/ 0.9/ -0.1), (0.1/ 0.1/ 0.0), (-0.1/ 0.1/ 0.0), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,10.61209
Fearful,(0.0/ 0.8/ -0.1), (-0.1/ 0.9/ -0.2), (0.0/ 0.1/ -0.2), (-0.1/ 0.1/ 0.0), (-0.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,10.96125
Fearful,(0.1/ 0.8/ -0.3), (0.0/ 0.9/ -0.3), (0.0/ 0.1/ -0.2), (-0.1/ 0.1/ 0.0), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,17.23942
Fearful,(0.1/ 0.8/ -0.3), (0.0/ 0.9/ -0.4), (0.0/ 0.1/ -0.2), (-0.1/ 0.1/ -0.3), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,21.40998
Fearful,(0.1/ 0.8/ -0.3), (0.0/ 0.9/ -0.4), (0.0/ 0.1/ -0.2), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.77738
Fearful,(0.0/ 0.8/ -0.4), (-0.1/ 0.9/ -0.4), (0.0/ 0.1/ -0.3), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.86232
Fearful,(0.0/ 1.3/ -0.7), (0.0/ 0.9/ -0.4), (0.0/ 0.1/ -0.4), (-0.1/ 0.1/ -0.3), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.09622
Fearful,(-0.1/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.0/ 0.1/ -0.4), (-0.2/ 0.1/ -0.3), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.33018
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.0/ 0.1/ -0.4), (-0.2/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.06692
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.2/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.49686
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.2/ 0.1/ -0.3), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.62442
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.2/ 0.1/ -0.3), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.5804
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.2/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.50698
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.60039
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.3), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.76212
Fearful,(-0.1/ 1.2/ -0.3), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.3), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.51061
Fearful,(-0.1/ 1.2/ -0.5), (-0.1/ 0.9/ -0.5), (0.1/ 0.1/ -0.3), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.62612
Fearful,(-0.1/ 1.2/ -0.5), (-0.1/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.63262
Fearful,(0.0/ 1.2/ -0.5), (0.1/ 0.9/ -0.6), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.44215
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.90852
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.66438
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.46059
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.12983
Fearful,(-0.1/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.39411
Fearful,(-0.1/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.11145
Fearful,(-0.1/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.05129
Fearful,(0.0/ 1.2/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.87536
Fearful,(0.0/ 1.2/ -0.7), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.54143
Fearful,(0.0/ 1.2/ -0.7), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.46506
Fearful,(0.0/ 1.3/ -0.7), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.19209
Fearful,(-0.1/ 1.3/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.39954
Fearful,(-0.1/ 1.3/ -0.6), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.44458
Fearful,(-0.2/ 1.3/ -0.4), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.14866
Fearful,(0.0/ 1.3/ -0.6), (0.0/ 0.9/ -0.4), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.98697
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27984
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.7632
Fearful,(-0.1/ 1.2/ -0.5), (0.0/ 0.9/ -0.5), (0.1/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.37952
