Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.0/ 1.1/ -0.6), (0.2/ 1.2/ -0.7), (-0.1/ 0.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.5864
Sad,(0.0/ 1.1/ -0.6), (0.2/ 1.2/ -0.7), (-0.1/ 0.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.89639
Sad,(0.0/ 1.1/ -0.6), (0.2/ 1.1/ -0.7), (-0.1/ 0.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.66288
Sad,(0.0/ 1.1/ -0.5), (0.2/ 1.1/ -0.5), (-0.1/ 0.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.75686
Sad,(0.0/ 1.1/ -0.5), (0.2/ 1.1/ -0.4), (-0.1/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.89464
Fearful,(0.0/ 1.1/ -0.3), (0.2/ 1.1/ -0.2), (-0.1/ 0.1/ -0.6), (0.0/ 0.1/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.31617
Fearful,(0.0/ 1.1/ -0.3), (0.1/ 1.1/ -0.2), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.68166
Fearful,(-0.1/ 1.1/ -0.3), (0.0/ 1.1/ -0.2), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.52153
Fearful,(-0.1/ 1.1/ -0.3), (0.0/ 1.1/ -0.1), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.77693
Fearful,(0.0/ 1.1/ -0.3), (0.2/ 1.1/ -0.2), (-0.1/ 0.1/ -0.6), (0.0/ 0.1/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.72482
Fearful,(0.0/ 1.1/ -0.3), (0.3/ 1.1/ -0.3), (-0.2/ 0.1/ -0.5), (-0.1/ 0.1/ -0.6), (-0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.25141
