Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.1/ 1.0/ -0.5), (-0.4/ 1.1/ -0.3), (0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.1), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.00977
Fearful,(-0.1/ 1.1/ -0.5), (-0.4/ 1.1/ -0.2), (0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.1), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.77836
Fearful,(-0.1/ 1.1/ -0.5), (-0.3/ 1.1/ -0.2), (0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.1), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.43744
Fearful,(-0.1/ 1.0/ -0.4), (-0.4/ 1.1/ -0.2), (0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.3783
Fearful,(-0.2/ 1.1/ -0.4), (-0.4/ 1.1/ -0.1), (0.1/ 0.1/ -0.4), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.50847
Fearful,(-0.2/ 1.1/ -0.4), (-0.4/ 1.1/ -0.1), (0.1/ 0.1/ -0.4), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.45054
Fearful,(-0.2/ 1.1/ -0.4), (-0.4/ 1.1/ -0.1), (0.0/ 0.1/ -0.3), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.35339
Fearful,(-0.1/ 1.1/ -0.4), (-0.4/ 1.1/ -0.1), (0.0/ 0.1/ -0.3), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.684
Fearful,(-0.1/ 1.1/ -0.4), (-0.4/ 1.1/ -0.1), (0.0/ 0.1/ -0.3), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.83875
Angry,(-0.1/ 1.1/ -0.6), (-0.4/ 1.1/ -0.2), (0.0/ 0.1/ -0.3), (0.1/ 0.1/ -0.2), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.75537
Fearful,(-0.1/ 1.0/ -0.6), (-0.3/ 1.1/ -0.2), (0.0/ 0.1/ -0.3), (0.1/ 0.1/ -0.2), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.31693
Fearful,(-0.1/ 1.0/ -0.6), (-0.3/ 1.1/ -0.2), (0.0/ 0.1/ -0.3), (0.1/ 0.1/ -0.2), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.05561
Fearful,(-0.1/ 1.0/ -0.6), (-0.3/ 1.1/ -0.2), (0.0/ 0.1/ -0.3), (0.1/ 0.1/ -0.2), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.10828
Fearful,(-0.1/ 1.0/ -0.6), (-0.4/ 1.1/ -0.2), (0.0/ 0.1/ -0.3), (0.0/ 0.1/ -0.2), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.03008
Fearful,(-0.2/ 1.1/ -0.5), (-0.5/ 1.1/ -0.2), (0.0/ 0.2/ -0.3), (0.0/ 0.1/ -0.2), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.34999
Fearful,(-0.2/ 1.1/ -0.5), (-0.4/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.3), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.02775
Fearful,(-0.2/ 1.1/ -0.5), (-0.5/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.3), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.24265
Fearful,(-0.2/ 1.0/ -0.5), (-0.4/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.3), (-0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.0327
Fearful,(-0.2/ 1.0/ -0.4), (-0.4/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.3), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.4161
Fearful,(-0.2/ 1.0/ -0.4), (-0.4/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.3), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.4161
Fearful,(-0.2/ 1.1/ -0.6), (-0.4/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (0.0/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.93818
Sad,(-0.3/ 1.1/ -0.6), (-0.4/ 1.1/ -0.3), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.28677
Sad,(-0.3/ 1.1/ -0.6), (-0.5/ 1.1/ -0.3), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.13223
Sad,(-0.3/ 1.1/ -0.6), (-0.5/ 1.1/ -0.3), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.47326
Fearful,(-0.3/ 1.1/ -0.5), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.28199
Fearful,(-0.3/ 1.1/ -0.5), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.1776
Fearful,(-0.3/ 1.0/ -0.5), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.4423
Fearful,(-0.3/ 1.0/ -0.4), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.03859
Fearful,(-0.3/ 1.0/ -0.4), (-0.5/ 1.1/ -0.2), (-0.2/ 0.1/ -0.4), (-0.1/ 0.1/ -0.4), (-0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.03859
