Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Surprised,(0.1/ 1.5/ -0.3), (0.3/ 1.3/ -0.4), (0.0/ 0.1/ -0.5), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.26202
Surprised,(0.1/ 1.5/ -0.4), (0.3/ 1.1/ -0.4), (0.0/ 0.1/ -0.5), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.12458
Angry,(0.3/ 1.3/ -0.3), (0.3/ 1.2/ -0.4), (0.0/ 0.1/ -0.5), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.86817
Sad,(0.3/ 1.2/ -0.4), (0.3/ 1.1/ -0.4), (0.0/ 0.1/ -0.5), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.54098
Sad,(0.4/ 1.2/ -0.5), (0.4/ 1.1/ -0.5), (0.0/ 0.1/ -0.5), (0.0/ 0.1/ -0.3), (0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.24998
Sad,(0.3/ 1.2/ -0.6), (0.3/ 1.2/ -0.6), (0.2/ 0.1/ -0.4), (0.0/ 0.1/ -0.3), (0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.07361
Sad,(0.3/ 1.2/ -0.6), (0.3/ 1.2/ -0.6), (0.1/ 0.1/ -0.4), (0.0/ 0.1/ -0.3), (0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.56849
Sad,(0.3/ 1.2/ -0.6), (0.3/ 1.2/ -0.6), (0.1/ 0.1/ -0.4), (0.0/ 0.1/ -0.3), (0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.61069
Sad,(0.3/ 1.2/ -0.5), (0.3/ 1.2/ -0.6), (0.1/ 0.1/ -0.4), (0.0/ 0.1/ -0.3), (0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.35009
Sad,(0.3/ 1.2/ -0.6), (0.3/ 1.2/ -0.6), (0.0/ 0.1/ -0.4), (0.0/ 0.1/ -0.3), (0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.1227
Sad,(0.4/ 1.2/ -0.5), (0.3/ 1.2/ -0.6), (0.0/ 0.1/ -0.3), (0.2/ 0.1/ -0.3), (0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.96106
Sad,(0.5/ 1.2/ -0.5), (0.3/ 1.1/ -0.7), (0.1/ 0.1/ -0.3), (0.4/ 0.1/ -0.2), (0.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.68219
Sad,(0.4/ 1.2/ -0.5), (0.2/ 1.2/ -0.7), (0.2/ 0.1/ -0.2), (0.4/ 0.1/ -0.2), (0.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.28263
Fearful,(0.3/ 1.2/ -0.4), (0.1/ 1.2/ -0.5), (0.1/ 0.1/ -0.1), (0.3/ 0.1/ -0.3), (0.3/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.61373
Fearful,(0.2/ 1.3/ -0.5), (0.0/ 1.2/ -0.5), (0.1/ 0.1/ -0.1), (0.3/ 0.1/ -0.2), (0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.13219
Fearful,(0.0/ 1.3/ -0.4), (-0.1/ 1.2/ -0.5), (0.2/ 0.1/ -0.1), (0.2/ 0.1/ -0.3), (0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.34139
Surprised,(0.0/ 1.3/ -0.5), (-0.1/ 1.2/ -0.5), (0.1/ 0.1/ -0.3), (0.2/ 0.1/ -0.3), (0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.42552
Surprised,(-0.1/ 1.5/ -0.5), (-0.2/ 1.2/ -0.4), (0.1/ 0.1/ -0.3), (0.2/ 0.1/ -0.4), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.91407
Angry,(-0.1/ 1.5/ -0.5), (-0.2/ 1.2/ -0.4), (0.1/ 0.1/ -0.3), (0.2/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.4843
Angry,(-0.1/ 1.5/ -0.6), (-0.2/ 1.1/ -0.5), (0.1/ 0.1/ -0.3), (0.2/ 0.1/ -0.4), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.07435
Sad,(-0.1/ 1.5/ -0.6), (-0.3/ 1.1/ -0.5), (0.1/ 0.1/ -0.3), (-0.1/ 0.1/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.60776
Sad,(-0.3/ 1.4/ -0.6), (-0.4/ 1.1/ -0.4), (0.0/ 0.1/ -0.3), (-0.1/ 0.1/ -0.5), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.55733
Sad,(-0.3/ 1.3/ -0.8), (-0.4/ 1.1/ -0.7), (-0.2/ 0.1/ -0.5), (-0.1/ 0.1/ -0.5), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.24577
Sad,(-0.2/ 1.4/ -0.8), (-0.5/ 1.1/ -0.8), (-0.2/ 0.1/ -0.6), (-0.1/ 0.2/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.19231
Sad,(-0.3/ 1.4/ -1.0), (-0.6/ 1.1/ -1.0), (-0.3/ 0.1/ -0.6), (-0.3/ 0.1/ -0.9), (-0.3/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.74157
Sad,(-0.4/ 1.4/ -1.2), (-0.6/ 1.1/ -1.2), (-0.4/ 0.1/ -1.2), (-0.3/ 0.1/ -0.9), (-0.4/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.58258
Sad,(-0.4/ 1.5/ -1.5), (-0.7/ 1.1/ -1.4), (-0.4/ 0.1/ -1.2), (-0.3/ 0.1/ -1.3), (-0.4/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.51387
Sad,(-0.5/ 1.4/ -1.7), (-0.8/ 1.1/ -1.7), (-0.4/ 0.2/ -1.3), (-0.4/ 0.1/ -1.6), (-0.5/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.36175
Sad,(-0.6/ 1.4/ -1.9), (-0.8/ 1.1/ -1.9), (-0.6/ 0.1/ -1.9), (-0.4/ 0.1/ -1.6), (-0.5/ 1.4/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,95.73854
Sad,(-0.7/ 1.4/ -2.2), (-0.9/ 1.1/ -2.0), (-0.6/ 0.1/ -1.9), (-0.6/ 0.1/ -2.2), (-0.6/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.6415
Sad,(-0.9/ 1.5/ -2.4), (-1.1/ 1.1/ -2.3), (-0.7/ 0.2/ -2.1), (-0.7/ 0.1/ -2.3), (-0.8/ 1.5/ -2.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,132.36
Sad,(-0.9/ 1.4/ -2.6), (-1.1/ 1.1/ -2.5), (-0.8/ 0.1/ -2.5), (-0.7/ 0.1/ -2.4), (-0.8/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.1801
Sad,(-1.0/ 1.5/ -2.7), (-1.1/ 1.1/ -2.5), (-0.8/ 0.1/ -2.5), (-0.7/ 0.1/ -2.6), (-0.9/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.9081
Sad,(-1.0/ 1.4/ -2.6), (-1.0/ 1.1/ -2.3), (-0.8/ 0.1/ -2.5), (-0.7/ 0.1/ -2.6), (-0.8/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.318
Sad,(-0.8/ 1.4/ -2.4), (-0.7/ 1.1/ -2.3), (-0.6/ 0.1/ -2.5), (-0.8/ 0.1/ -2.5), (-0.7/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,140.2144
Sad,(-0.7/ 1.4/ -2.6), (-0.8/ 1.1/ -2.3), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,145.7564
Sad,(-0.7/ 1.5/ -2.7), (-0.9/ 1.1/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.2516
Sad,(-0.7/ 1.5/ -2.7), (-0.9/ 1.1/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.9049
Sad,(-0.7/ 1.5/ -2.7), (-0.9/ 1.1/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.552
Sad,(-0.8/ 1.5/ -2.7), (-0.9/ 1.1/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.0731
Sad,(-0.8/ 1.4/ -2.7), (-0.9/ 1.1/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.5618
Sad,(-0.8/ 1.4/ -2.7), (-0.9/ 1.1/ -2.4), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.0152
Sad,(-0.8/ 1.2/ -2.7), (-0.9/ 1.1/ -2.4), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.3627
Sad,(-0.8/ 1.1/ -2.7), (-0.9/ 1.2/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.0771
Sad,(-0.8/ 1.1/ -2.7), (-0.9/ 1.2/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.3819
Sad,(-0.8/ 1.2/ -2.8), (-0.9/ 1.2/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.8943
Sad,(-0.8/ 1.2/ -2.8), (-0.9/ 1.2/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.8967
Sad,(-0.8/ 1.2/ -2.8), (-0.9/ 1.2/ -2.5), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,154.3286
Sad,(-0.7/ 1.2/ -2.8), (-0.9/ 1.2/ -2.4), (-0.6/ 0.1/ -2.5), (-0.5/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.0745
Sad,(-0.8/ 1.2/ -2.8), (-0.9/ 1.2/ -2.4), (-0.6/ 0.1/ -2.5), (-0.4/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.1305
Sad,(-0.8/ 1.2/ -2.8), (-0.9/ 1.1/ -2.5), (-0.6/ 0.1/ -2.5), (-0.4/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.316
Sad,(-0.8/ 1.2/ -2.9), (-0.9/ 1.2/ -2.5), (-0.6/ 0.1/ -2.5), (-0.4/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,154.6713
Sad,(-0.8/ 1.2/ -2.9), (-0.9/ 1.2/ -2.5), (-0.6/ 0.1/ -2.5), (-0.4/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,155.1622
Sad,(-0.7/ 1.2/ -2.9), (-0.9/ 1.1/ -2.5), (-0.6/ 0.1/ -2.5), (-0.4/ 0.1/ -2.6), (-0.6/ 1.5/ -2.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,154.5107
