Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.7/ 1.3/ 0.0), (-1.9/ 1.2/ 0.6), (-1.7/ 0.1/ 0.2), (-1.6/ 0.1/ 0.3), (-1.6/ 1.5/ 0.3), (-0.7/ 0.7/ 0.1), 0.3333333, 0.3333333,112.5878
Sad,(-1.7/ 1.3/ 0.0), (-1.9/ 1.2/ 0.6), (-1.7/ 0.1/ 0.2), (-1.6/ 0.1/ 0.3), (-1.6/ 1.5/ 0.3), (-0.7/ 0.7/ 0.1), 0.3333333, 0.3333333,113.0367
Sad,(-1.8/ 1.2/ 0.1), (-1.8/ 1.2/ 0.7), (-1.7/ 0.1/ 0.2), (-1.6/ 0.1/ 0.3), (-1.6/ 1.5/ 0.3), (-0.7/ 0.7/ 0.2), 0.3333333, 0.3333333,114.5663
Neutral,(-1.8/ 1.2/ 0.1), (-1.8/ 1.2/ 0.8), (-1.9/ 0.1/ 0.3), (-1.6/ 0.1/ 0.3), (-1.6/ 1.5/ 0.4), (-0.7/ 0.7/ 0.2), 0.3333333, 0.3333333,119.1399
Neutral,(-1.9/ 1.2/ 0.2), (-1.8/ 1.2/ 0.8), (-2.0/ 0.1/ 0.5), (-1.6/ 0.1/ 0.3), (-1.7/ 1.5/ 0.4), (-0.7/ 0.6/ 0.2), 0.3333333, 0.3333333,124.9274
Neutral,(-2.0/ 1.2/ 0.1), (-2.0/ 1.2/ 0.8), (-2.1/ 0.1/ 0.5), (-1.6/ 0.1/ 0.3), (-1.8/ 1.5/ 0.4), (-0.8/ 0.6/ 0.2), 0.3333333, 0.3333333,130.3282
Neutral,(-2.0/ 1.2/ 0.2), (-2.1/ 1.2/ 0.9), (-2.1/ 0.1/ 0.5), (-1.7/ 0.2/ 0.5), (-1.9/ 1.5/ 0.5), (-0.8/ 0.6/ 0.2), 0.3333333, 0.3333333,136.8644
Neutral,(-2.0/ 1.2/ 0.3), (-2.3/ 1.1/ 0.9), (-2.1/ 0.1/ 0.5), (-2.0/ 0.1/ 0.7), (-2.0/ 1.5/ 0.6), (-0.8/ 0.6/ 0.2), 0.3333333, 0.3333333,145.9992
Neutral,(-2.0/ 1.2/ 0.4), (-2.4/ 1.2/ 1.0), (-2.1/ 0.1/ 0.5), (-2.0/ 0.1/ 0.7), (-2.0/ 1.5/ 0.7), (-0.8/ 0.6/ 0.3), 0.3333333, 0.3333333,150.5242
Neutral,(-2.1/ 1.2/ 0.4), (-2.3/ 1.1/ 1.1), (-2.1/ 0.1/ 0.5), (-2.0/ 0.1/ 0.7), (-2.0/ 1.5/ 0.8), (-0.8/ 0.6/ 0.3), 0.3333333, 0.3333333,152.1202
Neutral,(-2.1/ 1.2/ 0.4), (-2.4/ 1.2/ 1.0), (-2.2/ 0.1/ 0.6), (-2.0/ 0.1/ 0.7), (-2.1/ 1.5/ 0.8), (-0.8/ 0.6/ 0.3), 0.3333333, 0.3333333,155.0089
Neutral,(-2.1/ 1.2/ 0.4), (-2.4/ 1.2/ 1.0), (-2.4/ 0.1/ 0.5), (-2.0/ 0.1/ 0.7), (-2.1/ 1.5/ 0.7), (-0.8/ 0.6/ 0.3), 0.3333333, 0.3333333,158.2417
Sad,(-2.2/ 1.2/ 0.4), (-2.5/ 1.2/ 1.0), (-2.4/ 0.1/ 0.6), (-2.0/ 0.1/ 0.7), (-2.2/ 1.5/ 0.7), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,160.149
Sad,(-2.3/ 1.2/ 0.3), (-2.5/ 1.1/ 0.9), (-2.4/ 0.1/ 0.6), (-2.1/ 0.1/ 0.7), (-2.3/ 1.5/ 0.5), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,161.5817
Sad,(-2.3/ 1.2/ 0.2), (-2.6/ 1.2/ 0.9), (-2.4/ 0.1/ 0.6), (-2.1/ 0.2/ 0.7), (-2.3/ 1.5/ 0.5), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,162.0341
Sad,(-2.3/ 1.2/ 0.3), (-2.6/ 1.2/ 0.9), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,166.2591
Sad,(-2.4/ 1.1/ 0.5), (-2.6/ 1.2/ 1.1), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.7), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,170.8469
Neutral,(-2.3/ 1.1/ 0.5), (-2.6/ 1.2/ 1.1), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,172.3607
Neutral,(-2.3/ 1.2/ 0.5), (-2.6/ 1.2/ 1.1), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,171.6238
Neutral,(-2.3/ 1.2/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,172.0792
Neutral,(-2.4/ 1.1/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,172.6975
Neutral,(-2.4/ 1.2/ 0.5), (-2.6/ 1.1/ 1.2), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,173.2027
Neutral,(-2.4/ 1.2/ 0.5), (-2.6/ 1.1/ 1.2), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,173.3037
Neutral,(-2.4/ 1.2/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,172.7454
Neutral,(-2.3/ 1.2/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.6), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,171.4191
Neutral,(-2.3/ 1.2/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,171.3792
Neutral,(-2.4/ 1.1/ 0.6), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,173.0907
Neutral,(-2.3/ 1.2/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,172.0959
Neutral,(-2.4/ 1.2/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,173.2683
Neutral,(-2.4/ 1.1/ 0.6), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,173.8389
Neutral,(-2.4/ 1.1/ 0.5), (-2.6/ 1.1/ 1.1), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,173.2486
Sad,(-2.4/ 1.2/ 0.4), (-2.6/ 1.1/ 1.0), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.7), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,171.8607
Sad,(-2.4/ 1.1/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.8), (-2.3/ 1.5/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,170.7836
Sad,(-2.4/ 1.1/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.2/ 0.1/ 0.7), (-2.3/ 1.5/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,170.3788
