Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Neutral,(0.0/ 1.0/ 0.1), (0.3/ 1.2/ -0.1), (-0.2/ 0.1/ -0.1), (-0.2/ 0.1/ -0.3), (-0.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.47669
Neutral,(0.0/ 1.0/ 0.1), (0.3/ 1.2/ -0.1), (-0.2/ 0.1/ -0.1), (-0.2/ 0.1/ -0.3), (-0.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.58743
Fearful,(0.0/ 1.0/ 0.1), (0.2/ 1.1/ -0.2), (-0.2/ 0.1/ -0.1), (-0.2/ 0.1/ -0.3), (-0.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.92134
Fearful,(-0.1/ 1.0/ 0.1), (0.2/ 1.0/ -0.2), (-0.2/ 0.1/ -0.1), (-0.2/ 0.1/ -0.3), (-0.1/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,19.82461
Neutral,(-0.2/ 1.0/ 0.2), (0.1/ 1.0/ 0.0), (-0.2/ 0.1/ -0.1), (-0.1/ 0.1/ -0.3), (-0.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,18.19442
Neutral,(-0.4/ 1.0/ 0.1), (0.1/ 1.0/ 0.2), (-0.2/ 0.1/ -0.1), (0.1/ 0.1/ -0.1), (-0.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,13.78888
Neutral,(-0.4/ 1.0/ 0.0), (-0.1/ 1.0/ 0.3), (-0.2/ 0.1/ -0.1), (0.0/ 0.1/ -0.1), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,16.33224
Neutral,(-0.5/ 1.0/ -0.2), (-0.3/ 1.0/ 0.2), (-0.2/ 0.1/ -0.1), (0.0/ 0.1/ 0.0), (-0.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,21.52898
Fearful,(-0.4/ 1.0/ -0.2), (-0.5/ 1.0/ 0.2), (-0.2/ 0.1/ -0.1), (-0.2/ 0.1/ 0.1), (-0.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.06844
Fearful,(-0.3/ 1.0/ -0.2), (-0.6/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.2/ 0.1/ 0.1), (-0.3/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.61702
Fearful,(-0.3/ 1.0/ -0.3), (-0.5/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.2/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.3407
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.14509
Fearful,(-0.3/ 1.0/ -0.2), (-0.6/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.84808
Fearful,(-0.2/ 0.9/ -0.1), (-0.5/ 0.9/ 0.2), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.23137
Fearful,(-0.2/ 0.9/ -0.1), (-0.5/ 0.9/ 0.2), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,21.46708
Fearful,(-0.3/ 1.1/ -0.3), (-0.7/ 1.1/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.21357
Fearful,(-0.3/ 1.0/ -0.2), (-0.6/ 1.1/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.0358
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 0.9/ 0.2), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.65468
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.99367
Fearful,(-0.3/ 1.0/ -0.2), (-0.6/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.93249
Fearful,(-0.3/ 1.0/ -0.2), (-0.6/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.77586
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.2/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.77571
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.70592
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.40139
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.43699
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.99982
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.20062
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.12952
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.14859
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.03988
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.94319
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.80806
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.72864
Fearful,(-0.3/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.60319
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.53578
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.44276
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.52907
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.73516
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.7618
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.64432
