Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.2/ 1.1/ -0.5), (0.6/ 1.3/ -0.7), (0.1/ 0.1/ -0.6), (0.0/ 0.1/ -0.8), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.81536
Sad,(0.2/ 1.1/ -0.6), (0.5/ 1.2/ -1.0), (0.1/ 0.1/ -0.7), (0.0/ 0.1/ -0.6), (0.1/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.09843
Sad,(0.1/ 1.1/ -0.8), (-0.3/ 1.2/ -1.0), (0.1/ 0.1/ -0.7), (0.0/ 0.1/ -0.6), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.73124
Sad,(0.0/ 1.1/ -0.9), (-0.4/ 1.2/ -0.7), (0.0/ 0.1/ -0.7), (0.2/ 0.1/ -0.5), (0.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.52964
Sad,(-0.1/ 1.1/ -0.7), (-0.3/ 1.1/ -0.3), (0.0/ 0.1/ -0.7), (0.2/ 0.1/ -0.5), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.52583
Sad,(-0.1/ 1.3/ -0.8), (-0.3/ 1.2/ -0.4), (0.0/ 0.1/ -0.7), (0.2/ 0.1/ -0.6), (0.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.06547
Sad,(0.0/ 1.4/ -0.9), (-0.4/ 1.2/ -0.5), (0.0/ 0.1/ -0.7), (0.2/ 0.1/ -0.6), (0.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.59353
Sad,(0.0/ 1.4/ -0.9), (-0.4/ 1.2/ -0.5), (0.0/ 0.1/ -0.7), (0.2/ 0.1/ -0.6), (0.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.02858
Sad,(0.0/ 1.4/ -0.9), (-0.4/ 1.1/ -0.5), (0.0/ 0.1/ -0.7), (0.2/ 0.1/ -0.6), (0.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.62887
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.1/ -0.5), (-0.1/ 0.1/ -0.7), (-0.1/ 0.1/ -0.8), (-0.1/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.4738
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.5), (-0.3/ 0.1/ -0.8), (-0.1/ 0.1/ -0.8), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.16999
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.0/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.13421
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.0/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.37788
Sad,(-0.3/ 1.2/ -0.9), (-0.5/ 1.0/ -0.6), (-0.3/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.18979
Sad,(-0.3/ 1.4/ -0.9), (-0.5/ 1.1/ -0.6), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.47291
Sad,(-0.2/ 1.4/ -0.9), (-0.5/ 1.1/ -0.6), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.5901
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.0/ -0.6), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.35825
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.0/ -0.6), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.60983
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.0/ -0.7), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.04581
Sad,(-0.2/ 1.3/ -0.9), (-0.6/ 1.0/ -0.7), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.78045
Sad,(-0.2/ 1.3/ -0.8), (-0.6/ 1.0/ -0.7), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.45373
Sad,(-0.2/ 1.3/ -0.9), (-0.5/ 1.0/ -0.6), (-0.3/ 0.1/ -0.9), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.49575
Sad,(-0.2/ 1.3/ -0.8), (-0.5/ 1.1/ -0.5), (-0.3/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.76577
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.6), (-0.3/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.11638
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.6), (-0.3/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.27308
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.51258
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.88294
Sad,(-0.3/ 1.1/ -0.8), (-0.5/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.57937
