Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.2/ 1.1/ -0.5), (-2.3/ 1.2/ -0.6), (-2.2/ 0.2/ -0.4), (-2.0/ 0.1/ -0.3), (-2.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.1851
Sad,(-2.1/ 1.1/ -0.5), (-2.2/ 1.2/ -0.5), (-2.1/ 0.2/ -0.5), (-2.0/ 0.1/ -0.3), (-2.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,123.0623
Sad,(-2.0/ 1.1/ -0.6), (-2.0/ 1.2/ -0.6), (-2.1/ 0.1/ -0.5), (-2.0/ 0.1/ -0.3), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.3457
Sad,(-1.9/ 1.0/ -0.7), (-2.0/ 1.1/ -0.6), (-2.1/ 0.1/ -0.5), (-2.0/ 0.1/ -0.3), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.3257
Sad,(-1.9/ 1.1/ -0.7), (-1.9/ 1.1/ -0.6), (-2.1/ 0.1/ -0.5), (-2.0/ 0.1/ -0.3), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.4442
Sad,(-1.8/ 1.2/ -0.6), (-2.0/ 1.2/ -0.6), (-2.1/ 0.1/ -0.5), (-2.0/ 0.1/ -0.3), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.4509
Sad,(-2.1/ 1.1/ -0.5), (-2.1/ 1.1/ -0.5), (-2.1/ 0.1/ -0.5), (-2.0/ 0.1/ -0.3), (-2.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.7873
Sad,(-2.0/ 1.1/ -0.6), (-2.0/ 1.1/ -0.5), (-2.0/ 0.1/ -0.4), (-2.0/ 0.1/ -0.3), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.5802
Sad,(-1.9/ 1.1/ -0.6), (-1.9/ 1.1/ -0.5), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.3), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.6318
Sad,(-1.9/ 1.0/ -0.6), (-1.8/ 1.1/ -0.6), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.7467
Sad,(-1.9/ 1.0/ -0.6), (-1.9/ 1.1/ -0.5), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.7048
Sad,(-2.0/ 1.0/ -0.5), (-1.9/ 1.1/ -0.5), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.3), (-1.9/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.5785
Sad,(-2.0/ 1.0/ -0.5), (-2.0/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.3), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.6961
Sad,(-2.0/ 1.0/ -0.5), (-2.0/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.3), (-2.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.4934
Sad,(-2.0/ 1.1/ -0.6), (-1.9/ 1.2/ -0.5), (-2.0/ 0.1/ -0.5), (-1.9/ 0.1/ -0.3), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.8103
Sad,(-1.9/ 1.1/ -0.7), (-1.8/ 1.1/ -0.6), (-2.0/ 0.1/ -0.5), (-1.9/ 0.1/ -0.3), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.502
Sad,(-1.9/ 1.0/ -0.7), (-1.8/ 1.1/ -0.6), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.2657
Sad,(-1.9/ 1.0/ -0.6), (-1.8/ 1.1/ -0.6), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.9059
