Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.7/ 1.0/ 0.0), (-0.8/ 1.1/ 0.0), (-0.9/ 0.1/ -0.1), (-0.7/ 0.1/ -0.2), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.09415
Sad,(-0.7/ 1.0/ 0.0), (-0.8/ 1.1/ -0.1), (-0.9/ 0.1/ -0.1), (-0.7/ 0.1/ -0.2), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.60015
Sad,(-0.7/ 1.0/ -0.1), (-0.8/ 1.1/ -0.1), (-0.9/ 0.1/ -0.1), (-0.6/ 0.1/ -0.2), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.80314
Sad,(-0.7/ 1.0/ -0.1), (-0.8/ 1.1/ -0.1), (-0.9/ 0.1/ -0.1), (-0.6/ 0.1/ -0.2), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.21337
Sad,(-0.7/ 1.0/ 0.0), (-0.8/ 1.1/ 0.0), (-0.9/ 0.1/ -0.1), (-0.7/ 0.1/ -0.1), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.80147
Happy,(-0.7/ 1.0/ 0.1), (-0.8/ 1.1/ 0.0), (-0.9/ 0.1/ -0.1), (-0.6/ 0.1/ 0.0), (-0.7/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.50583
Neutral,(-0.8/ 1.0/ 0.0), (-0.7/ 1.1/ -0.1), (-0.7/ 0.1/ -0.1), (-0.6/ 0.1/ 0.0), (-0.7/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.95643
Neutral,(-0.8/ 1.0/ 0.1), (-0.7/ 1.1/ -0.1), (-0.7/ 0.1/ -0.1), (-0.6/ 0.1/ 0.0), (-0.7/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.151
Neutral,(-0.9/ 1.0/ -0.1), (-0.8/ 1.1/ -0.1), (-0.7/ 0.1/ -0.1), (-0.7/ 0.1/ 0.0), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.94459
Neutral,(-0.9/ 1.0/ -0.1), (-0.8/ 1.1/ -0.1), (-0.7/ 0.1/ -0.1), (-0.7/ 0.1/ 0.0), (-0.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.26334
Sad,(-0.9/ 1.0/ -0.1), (-0.8/ 1.1/ -0.1), (-0.8/ 0.1/ -0.2), (-0.7/ 0.1/ 0.0), (-0.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.79399
Sad,(-1.0/ 1.0/ -0.4), (-0.8/ 1.1/ -0.2), (-0.8/ 0.1/ -0.2), (-0.8/ 0.2/ 0.0), (-0.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.69162
Sad,(-1.0/ 1.0/ -0.5), (-0.9/ 1.1/ -0.3), (-0.8/ 0.1/ -0.2), (-1.2/ 0.1/ -0.2), (-0.9/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.53122
Sad,(-1.3/ 1.0/ -0.5), (-1.2/ 1.1/ -0.3), (-0.8/ 0.1/ -0.2), (-1.3/ 0.1/ -0.3), (-1.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.2223
Sad,(-1.5/ 1.0/ -0.4), (-1.3/ 1.1/ -0.4), (-1.2/ 0.1/ -0.5), (-1.3/ 0.1/ -0.3), (-1.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.67501
Sad,(-1.5/ 1.0/ -0.5), (-1.3/ 1.1/ -0.5), (-1.2/ 0.1/ -0.5), (-1.3/ 0.1/ -0.3), (-1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.1683
Sad,(-1.5/ 1.1/ -0.7), (-1.3/ 1.1/ -0.5), (-1.2/ 0.1/ -0.5), (-1.3/ 0.1/ -0.3), (-1.2/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.13447
Sad,(-1.3/ 1.0/ -0.7), (-1.3/ 1.1/ -0.5), (-1.2/ 0.1/ -0.5), (-1.3/ 0.1/ -0.3), (-1.2/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.72634
