Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Happy,(-0.4/ 1.0/ 0.0), (-0.7/ 1.2/ -0.2), (-0.7/ 0.1/ 0.0), (-0.5/ 0.1/ -0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.4036
Happy,(-0.4/ 1.1/ 0.0), (-0.8/ 1.2/ -0.2), (-0.7/ 0.1/ 0.0), (-0.5/ 0.1/ -0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.85915
Happy,(-0.4/ 1.1/ 0.0), (-0.9/ 1.1/ -0.1), (-0.7/ 0.1/ 0.0), (-0.5/ 0.1/ -0.1), (-0.6/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.59452
Happy,(-0.4/ 1.1/ 0.0), (-0.9/ 1.1/ -0.1), (-0.7/ 0.1/ 0.0), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.05459
Happy,(-0.5/ 1.0/ 0.0), (-0.9/ 1.1/ -0.1), (-0.7/ 0.1/ 0.0), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.88155
Fearful,(-0.4/ 1.0/ 0.0), (-0.9/ 1.1/ 0.0), (-0.6/ 0.1/ 0.0), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.4413
Fearful,(-0.3/ 1.1/ 0.0), (-0.9/ 1.1/ -0.1), (-0.7/ 0.1/ 0.1), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.32492
Sad,(-0.4/ 1.1/ -0.2), (-0.9/ 1.1/ 0.0), (-0.7/ 0.1/ 0.1), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.34134
Sad,(-0.4/ 1.1/ -0.1), (-0.9/ 1.1/ -0.1), (-0.7/ 0.1/ 0.1), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.56203
Sad,(-0.3/ 1.1/ -0.1), (-0.9/ 1.2/ -0.2), (-0.7/ 0.1/ 0.1), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.07421
Sad,(-0.5/ 1.1/ -0.3), (-0.9/ 1.1/ 0.0), (-0.7/ 0.1/ 0.0), (-0.6/ 0.1/ -0.1), (-0.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.16322
Sad,(-0.7/ 1.1/ -0.3), (-0.9/ 1.1/ 0.1), (-0.6/ 0.1/ 0.0), (-0.7/ 0.1/ -0.1), (-0.7/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.26659
Neutral,(-0.8/ 1.1/ -0.2), (-0.7/ 1.1/ 0.2), (-0.6/ 0.1/ 0.0), (-0.7/ 0.1/ -0.1), (-0.7/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.52332
Neutral,(-0.8/ 1.1/ -0.3), (-0.6/ 1.1/ 0.1), (-0.6/ 0.1/ 0.0), (-0.7/ 0.1/ -0.1), (-0.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.92502
Neutral,(-0.8/ 1.2/ -0.2), (-0.7/ 1.1/ 0.1), (-0.6/ 0.1/ 0.0), (-0.7/ 0.1/ -0.1), (-0.7/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.85255
Neutral,(-0.9/ 1.2/ -0.1), (-0.7/ 1.0/ 0.2), (-0.6/ 0.1/ 0.0), (-0.7/ 0.1/ -0.1), (-0.7/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.67901
Neutral,(-1.0/ 1.2/ -0.2), (-0.7/ 1.1/ 0.2), (-0.6/ 0.1/ 0.0), (-0.7/ 0.1/ -0.1), (-0.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.85581
Neutral,(-0.8/ 1.1/ -0.2), (-0.9/ 1.2/ 0.2), (-0.6/ 0.1/ 0.0), (-0.7/ 0.1/ -0.1), (-0.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.56119
Neutral,(-0.9/ 1.2/ -0.2), (-0.8/ 1.2/ 0.2), (-0.6/ 0.1/ 0.0), (-0.8/ 0.1/ -0.1), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.86827
Neutral,(-0.9/ 1.2/ -0.2), (-0.7/ 1.2/ 0.2), (-0.6/ 0.1/ 0.0), (-0.9/ 0.1/ -0.1), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.32216
Neutral,(-0.9/ 1.1/ -0.3), (-0.6/ 1.1/ 0.1), (-0.6/ 0.1/ -0.1), (-0.9/ 0.1/ -0.1), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.38361
Sad,(-0.9/ 1.1/ -0.3), (-0.7/ 1.1/ 0.1), (-0.9/ 0.1/ -0.2), (-0.9/ 0.1/ -0.1), (-0.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.74656
Sad,(-1.0/ 1.1/ -0.2), (-0.8/ 1.1/ 0.2), (-0.9/ 0.1/ -0.2), (-0.9/ 0.1/ -0.1), (-0.9/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.22787
Sad,(-1.1/ 1.1/ -0.2), (-0.9/ 1.1/ 0.2), (-0.8/ 0.1/ -0.2), (-0.9/ 0.1/ -0.1), (-1.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.84721
Sad,(-1.1/ 1.1/ -0.3), (-1.0/ 1.1/ 0.2), (-0.8/ 0.1/ -0.2), (-1.0/ 0.2/ -0.1), (-1.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.39313
Sad,(-1.2/ 1.1/ -0.3), (-1.0/ 1.1/ 0.2), (-0.8/ 0.1/ -0.2), (-1.2/ 0.1/ -0.2), (-1.1/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.61595
Sad,(-1.1/ 1.1/ -0.4), (-1.1/ 1.1/ 0.1), (-0.9/ 0.2/ -0.1), (-1.2/ 0.1/ -0.2), (-1.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,61.58162
Sad,(-1.1/ 1.1/ -0.4), (-1.3/ 1.1/ 0.1), (-1.1/ 0.1/ -0.1), (-1.2/ 0.1/ -0.2), (-1.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.43515
Sad,(-1.3/ 1.0/ -0.3), (-1.3/ 1.1/ 0.2), (-1.1/ 0.1/ -0.1), (-1.2/ 0.1/ -0.2), (-1.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.10831
Sad,(-1.4/ 1.1/ -0.3), (-1.1/ 1.1/ 0.3), (-1.1/ 0.1/ -0.1), (-1.3/ 0.1/ -0.1), (-1.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.94592
Sad,(-1.4/ 1.1/ -0.3), (-1.2/ 1.1/ 0.2), (-1.1/ 0.1/ -0.1), (-1.4/ 0.1/ -0.1), (-1.3/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.98881
Sad,(-1.4/ 1.1/ -0.3), (-1.2/ 1.1/ 0.1), (-1.4/ 0.1/ -0.3), (-1.4/ 0.1/ -0.1), (-1.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.31784
Sad,(-1.6/ 1.1/ -0.3), (-1.4/ 1.1/ 0.2), (-1.4/ 0.1/ -0.2), (-1.4/ 0.1/ -0.2), (-1.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.09044
Sad,(-1.7/ 1.1/ -0.3), (-1.6/ 1.1/ 0.3), (-1.4/ 0.1/ -0.2), (-1.8/ 0.1/ -0.2), (-1.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.65467
Sad,(-1.9/ 1.1/ -0.4), (-1.7/ 1.1/ 0.2), (-1.6/ 0.1/ -0.3), (-1.8/ 0.1/ -0.2), (-1.7/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.4539
Sad,(-1.9/ 1.1/ -0.3), (-2.0/ 1.1/ 0.3), (-1.7/ 0.1/ -0.2), (-1.8/ 0.1/ -0.2), (-1.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.1122
Sad,(-2.0/ 1.1/ -0.3), (-1.9/ 1.1/ 0.2), (-1.7/ 0.1/ -0.2), (-2.0/ 0.1/ -0.2), (-1.9/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.3318
Sad,(-2.0/ 1.1/ -0.3), (-2.0/ 1.1/ 0.2), (-1.9/ 0.1/ -0.3), (-2.0/ 0.1/ -0.2), (-1.9/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,116.2691
Sad,(-2.1/ 1.1/ -0.3), (-2.2/ 1.1/ 0.2), (-1.9/ 0.1/ -0.3), (-2.0/ 0.1/ -0.2), (-2.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.5926
Sad,(-2.1/ 1.1/ -0.3), (-2.2/ 1.1/ 0.2), (-1.9/ 0.1/ -0.3), (-2.0/ 0.1/ -0.2), (-2.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.099
Sad,(-2.1/ 1.1/ -0.4), (-2.3/ 1.1/ 0.1), (-1.9/ 0.1/ -0.3), (-2.0/ 0.1/ -0.2), (-2.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,122.4389
Sad,(-2.1/ 1.1/ -0.4), (-2.3/ 1.1/ 0.1), (-1.9/ 0.1/ -0.3), (-2.0/ 0.1/ -0.2), (-2.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,122.6183
Sad,(-2.2/ 1.1/ -0.3), (-2.1/ 1.1/ 0.2), (-1.9/ 0.1/ -0.3), (-2.0/ 0.1/ -0.3), (-2.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,122.3633
Sad,(-2.2/ 1.1/ -0.3), (-2.1/ 1.1/ 0.2), (-1.9/ 0.1/ -0.3), (-2.1/ 0.1/ -0.2), (-2.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,123.7789
Sad,(-2.2/ 1.1/ -0.4), (-2.1/ 1.1/ 0.2), (-2.1/ 0.1/ -0.3), (-2.1/ 0.1/ -0.2), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.7058
Sad,(-2.2/ 1.1/ -0.3), (-2.3/ 1.1/ 0.2), (-2.1/ 0.1/ -0.3), (-2.1/ 0.1/ -0.2), (-2.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,130.2053
Sad,(-2.3/ 1.1/ -0.4), (-2.4/ 1.1/ 0.1), (-2.1/ 0.1/ -0.3), (-2.2/ 0.1/ -0.3), (-2.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,134.6422
Sad,(-2.3/ 1.1/ -0.4), (-2.5/ 1.1/ 0.1), (-2.1/ 0.1/ -0.3), (-2.2/ 0.1/ -0.3), (-2.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,136.093
