Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(1.2/ 1.1/ 1.2), (1.4/ 1.1/ 1.2), (0.9/ 0.1/ 1.3), (1.0/ 0.1/ 0.9), (1.0/ 1.5/ 1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.7291
Disgusted,(1.2/ 1.1/ 1.2), (1.4/ 1.1/ 1.2), (0.9/ 0.1/ 1.3), (1.0/ 0.1/ 0.9), (1.0/ 1.5/ 1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.9396
Disgusted,(1.1/ 1.1/ 1.4), (1.3/ 1.1/ 1.6), (1.0/ 0.1/ 1.2), (0.9/ 0.2/ 0.8), (1.0/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.9784
Disgusted,(1.0/ 1.1/ 1.5), (1.1/ 1.1/ 1.7), (1.0/ 0.1/ 1.2), (1.4/ 0.1/ 1.3), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.258
Disgusted,(0.9/ 1.1/ 1.5), (1.0/ 1.0/ 1.7), (1.0/ 0.1/ 1.2), (1.3/ 0.1/ 1.2), (1.1/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.4077
Disgusted,(0.7/ 1.1/ 1.3), (0.6/ 1.1/ 1.5), (1.0/ 0.1/ 1.2), (1.3/ 0.2/ 1.3), (0.9/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.59
Disgusted,(0.7/ 1.1/ 1.2), (0.5/ 1.1/ 1.2), (1.0/ 0.1/ 1.2), (1.0/ 0.2/ 1.5), (0.9/ 1.5/ 1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.9763
Disgusted,(0.7/ 1.1/ 1.1), (0.5/ 1.1/ 1.2), (1.0/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (0.9/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.7083
Disgusted,(0.7/ 1.2/ 1.1), (0.5/ 1.1/ 1.2), (1.0/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (0.9/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.6943
Disgusted,(0.7/ 1.1/ 1.2), (0.5/ 1.1/ 1.2), (1.0/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (0.9/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.7592
Disgusted,(0.7/ 1.1/ 1.2), (0.5/ 1.1/ 1.2), (1.0/ 0.1/ 1.2), (1.0/ 0.1/ 1.5), (0.9/ 1.4/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.4249
