Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Neutral,(1.7/ 1.4/ 0.9), (1.9/ 0.9/ 0.5), (1.5/ 0.1/ 1.0), (1.6/ 0.1/ 0.8), (1.7/ 1.5/ 0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.0468
Neutral,(1.5/ 1.4/ 0.9), (1.9/ 0.9/ 0.7), (1.5/ 0.1/ 0.9), (1.6/ 0.1/ 0.8), (1.6/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.653
Happy,(1.5/ 1.4/ 0.9), (1.7/ 0.9/ 0.9), (1.5/ 0.1/ 0.9), (1.7/ 0.1/ 1.0), (1.6/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.7163
Happy,(1.5/ 1.4/ 0.9), (1.6/ 0.9/ 0.9), (1.6/ 0.1/ 0.8), (1.7/ 0.1/ 1.0), (1.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.9662
Happy,(1.5/ 1.4/ 0.8), (1.6/ 0.9/ 0.8), (1.6/ 0.1/ 0.8), (1.6/ 0.1/ 1.0), (1.5/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.2991
Neutral,(1.5/ 1.4/ 0.6), (1.5/ 0.9/ 0.6), (1.6/ 0.1/ 0.8), (1.4/ 0.1/ 0.5), (1.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.8005
Neutral,(1.4/ 1.2/ 0.4), (1.4/ 1.0/ 0.4), (1.5/ 0.1/ 0.6), (1.4/ 0.1/ 0.5), (1.4/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.237
Neutral,(1.4/ 1.2/ 0.4), (1.5/ 1.0/ 0.3), (1.4/ 0.1/ 0.4), (1.4/ 0.1/ 0.5), (1.5/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.74588
Neutral,(1.4/ 1.2/ 0.3), (1.6/ 1.0/ 0.2), (1.5/ 0.1/ 0.4), (1.4/ 0.1/ 0.5), (1.5/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.62929
Neutral,(1.3/ 1.2/ 0.5), (1.5/ 1.0/ 0.4), (1.5/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,97.15788
Neutral,(1.2/ 1.2/ 0.5), (1.4/ 1.0/ 0.5), (1.2/ 0.1/ 0.5), (1.3/ 0.1/ 0.5), (1.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.61833
Neutral,(1.0/ 1.2/ 0.6), (1.3/ 1.0/ 0.5), (1.2/ 0.1/ 0.6), (1.0/ 0.1/ 0.7), (1.1/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.78423
Disgusted,(0.8/ 1.2/ 0.7), (1.0/ 1.0/ 0.6), (1.0/ 0.1/ 0.7), (0.9/ 0.1/ 0.8), (0.9/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.62625
Disgusted,(0.8/ 1.2/ 0.7), (1.0/ 1.0/ 0.6), (0.9/ 0.1/ 0.7), (0.9/ 0.1/ 0.8), (0.9/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.5468
Disgusted,(0.6/ 1.2/ 0.7), (0.7/ 1.0/ 0.6), (0.8/ 0.1/ 0.8), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.35652
Disgusted,(0.5/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.09507
Disgusted,(0.4/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.43813
Disgusted,(0.4/ 1.1/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.17632
Disgusted,(0.4/ 1.1/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.95791
Disgusted,(0.4/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.36178
Disgusted,(0.4/ 1.1/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.75351
Disgusted,(0.4/ 1.1/ 0.7), (0.5/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.61726
Disgusted,(0.4/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.64982
Disgusted,(0.4/ 1.2/ 0.7), (0.6/ 1.0/ 0.7), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.10502
Disgusted,(0.4/ 1.1/ 0.7), (0.5/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.96802
Disgusted,(0.4/ 1.1/ 0.7), (0.6/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.4/ 0.1/ 0.8), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.11802
Disgusted,(0.4/ 1.1/ 0.7), (0.5/ 1.0/ 0.6), (0.5/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.97536
Disgusted,(0.4/ 1.2/ 0.7), (0.5/ 1.0/ 0.6), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.37097
Disgusted,(0.5/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.5/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.60543
Disgusted,(0.5/ 1.2/ 0.6), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.38148
Disgusted,(0.5/ 1.2/ 0.6), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.26089
Disgusted,(0.5/ 1.1/ 0.6), (0.6/ 1.0/ 0.5), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.10296
Disgusted,(0.5/ 1.1/ 0.6), (0.6/ 1.0/ 0.5), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.16166
Disgusted,(0.5/ 1.1/ 0.6), (0.7/ 1.0/ 0.5), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.24423
Disgusted,(0.5/ 1.1/ 0.6), (0.6/ 1.0/ 0.5), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.90172
Disgusted,(0.5/ 1.2/ 0.6), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.30248
Disgusted,(0.5/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,57.65444
Disgusted,(0.5/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.11014
Disgusted,(0.5/ 1.1/ 0.7), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.13832
Disgusted,(0.5/ 1.2/ 0.7), (0.7/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.34681
Disgusted,(0.5/ 1.2/ 0.6), (0.7/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.5079
