Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.1/ 1.4/ 0.1), (0.2/ 1.2/ -0.3), (0.0/ 0.1/ 0.2), (-0.2/ 0.1/ -0.1), (-0.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.4317
Angry,(0.1/ 1.4/ 0.1), (0.2/ 1.2/ -0.3), (0.0/ 0.1/ 0.2), (-0.2/ 0.1/ 0.0), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.8133
Disgusted,(0.0/ 1.4/ 0.1), (0.3/ 1.1/ -0.2), (0.0/ 0.1/ 0.2), (-0.2/ 0.1/ -0.1), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,22.16869
Disgusted,(0.0/ 1.4/ 0.2), (0.4/ 1.1/ -0.1), (0.0/ 0.1/ 0.2), (-0.2/ 0.1/ -0.1), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.03825
Fearful,(0.0/ 1.4/ -0.1), (0.0/ 1.1/ -0.4), (0.0/ 0.1/ 0.0), (-0.2/ 0.1/ -0.1), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.61461
Angry,(-0.1/ 1.4/ -0.2), (-0.4/ 1.1/ -0.3), (-0.1/ 0.1/ -0.1), (0.0/ 0.1/ 0.0), (0.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,21.28028
Angry,(-0.2/ 1.4/ -0.1), (-0.6/ 1.2/ 0.1), (-0.2/ 0.2/ 0.0), (-0.1/ 0.2/ 0.0), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.73498
Angry,(-0.3/ 1.4/ -0.1), (-0.5/ 1.2/ 0.3), (-0.3/ 0.2/ 0.0), (-0.1/ 0.2/ 0.0), (-0.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.82218
Neutral,(-0.3/ 1.4/ 0.0), (-0.4/ 1.3/ 0.4), (-0.2/ 0.2/ 0.0), (-0.1/ 0.2/ 0.0), (-0.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.8477
Neutral,(-0.3/ 1.2/ 0.1), (-0.1/ 1.2/ 0.5), (-0.2/ 0.2/ 0.1), (-0.1/ 0.2/ 0.0), (-0.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,19.29565
Neutral,(-0.2/ 1.0/ 0.1), (-0.1/ 1.2/ 0.5), (-0.2/ 0.2/ 0.2), (-0.1/ 0.2/ 0.0), (-0.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,18.84361
Neutral,(-0.2/ 1.0/ 0.0), (0.0/ 1.1/ 0.5), (-0.1/ 0.2/ 0.2), (-0.1/ 0.2/ 0.0), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,17.46754
Neutral,(-0.2/ 1.1/ 0.0), (-0.1/ 1.0/ 0.4), (-0.2/ 0.2/ 0.2), (-0.1/ 0.2/ 0.0), (-0.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,17.69521
Neutral,(-0.1/ 1.1/ -0.1), (-0.1/ 1.1/ 0.4), (-0.1/ 0.1/ 0.2), (-0.1/ 0.2/ 0.0), (0.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,17.25757
Neutral,(-0.1/ 1.1/ -0.1), (-0.2/ 1.1/ 0.4), (0.0/ 0.2/ 0.1), (-0.1/ 0.2/ 0.0), (0.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,19.20549
Angry,(-0.3/ 1.2/ -0.2), (-0.4/ 1.2/ 0.4), (-0.1/ 0.2/ 0.1), (-0.1/ 0.2/ 0.0), (-0.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,23.37143
Angry,(-0.3/ 1.2/ -0.2), (-0.5/ 1.2/ 0.3), (-0.1/ 0.2/ 0.0), (-0.1/ 0.2/ 0.0), (-0.2/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.70823
Angry,(-0.3/ 1.2/ -0.2), (-0.5/ 1.2/ 0.3), (-0.3/ 0.2/ 0.0), (-0.1/ 0.2/ 0.0), (-0.2/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.89289
Neutral,(-0.3/ 1.2/ 0.0), (-0.3/ 1.2/ 0.5), (-0.2/ 0.1/ 0.1), (-0.1/ 0.2/ 0.0), (-0.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.91523
Neutral,(-0.3/ 1.3/ 0.0), (-0.1/ 1.2/ 0.5), (0.0/ 0.2/ 0.1), (-0.1/ 0.2/ 0.0), (-0.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,20.38631
Neutral,(-0.4/ 1.4/ 0.1), (-0.2/ 1.2/ 0.6), (-0.4/ 0.2/ 0.1), (-0.1/ 0.2/ 0.0), (-0.2/ 1.6/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.79297
Surprised,(-0.6/ 1.4/ 0.1), (-0.4/ 1.1/ 0.6), (-0.5/ 0.1/ 0.2), (-0.2/ 0.1/ 0.0), (-0.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.09176
Neutral,(-0.4/ 1.4/ 0.0), (-0.2/ 1.1/ 0.5), (-0.1/ 0.1/ 0.1), (-0.4/ 0.2/ 0.0), (-0.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.87277
Surprised,(-0.8/ 1.5/ 0.1), (-0.7/ 1.1/ 0.7), (-0.5/ 0.2/ 0.2), (-0.5/ 0.2/ 0.1), (-0.6/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.90935
Neutral,(-1.0/ 1.4/ 0.0), (-1.1/ 1.1/ 0.5), (-1.1/ 0.1/ 0.2), (-0.5/ 0.2/ 0.1), (-0.9/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.92755
Neutral,(-1.2/ 1.4/ -0.2), (-1.2/ 1.1/ 0.4), (-1.0/ 0.1/ 0.1), (-1.1/ 0.1/ -0.1), (-1.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.41012
Sad,(-1.4/ 1.5/ -0.3), (-1.5/ 1.1/ 0.3), (-1.0/ 0.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.2/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.79388
Sad,(-1.5/ 1.5/ -0.4), (-1.7/ 1.1/ 0.1), (-1.5/ 0.2/ -0.3), (-1.3/ 0.2/ -0.3), (-1.4/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.60889
Sad,(-1.6/ 1.4/ -0.6), (-1.9/ 1.0/ -0.1), (-1.6/ 0.1/ -0.4), (-1.4/ 0.2/ -0.5), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.53391
Sad,(-1.6/ 1.3/ -0.4), (-1.9/ 1.1/ 0.0), (-1.4/ 0.2/ -0.2), (-1.4/ 0.1/ -0.4), (-1.5/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.02916
Sad,(-1.7/ 1.3/ -0.5), (-1.9/ 1.1/ 0.0), (-1.5/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.6/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.93786
Sad,(-1.6/ 1.2/ -0.4), (-1.5/ 1.1/ 0.0), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.57877
Sad,(-1.6/ 1.2/ -0.4), (-1.5/ 1.1/ 0.0), (-1.3/ 0.2/ -0.4), (-1.5/ 0.2/ -0.5), (-1.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.03693
Sad,(-1.6/ 1.2/ -0.3), (-1.5/ 1.1/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.87335
Sad,(-1.6/ 1.3/ -0.3), (-1.5/ 1.1/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.73647
Sad,(-1.6/ 1.5/ -0.4), (-1.4/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.25582
Sad,(-1.6/ 1.5/ -0.4), (-1.4/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.4/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.20998
Sad,(-1.6/ 1.5/ -0.4), (-1.5/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.20826
Sad,(-1.6/ 1.5/ -0.5), (-1.5/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.44804
