Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
Disgusted,(-0.7/ 1.2/ 0.8), (-0.7/ 1.1/ 0.3), (-1.0/ 0.1/ 0.6), (-1.0/ 0.1/ 0.7), (-0.9/ 1.5/ 0.7), (-0.5/ 0.8/ 0.4), 0.3333333, 0.3333333,71.26046
