Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
Neutral,(-0.7/ 1.4/ -0.5), (0.7/ 1.4/ -0.5), (-0.1/ 0.0/ -0.5), (0.1/ 0.0/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.9/ -0.3), 0.3333333, 0.3333333,33.25906
