Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.6/ 0.9/ 0.6), (-0.8/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.22185
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24921
Angry,(0.6/ 0.9/ 0.6), (-0.8/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.22087
Angry,(0.4/ 0.9/ 0.7), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.25875
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.25515
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24395
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24469
Angry,(0.4/ 0.9/ 0.7), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.26379
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24679
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24726
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24749
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24592
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.24672
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.21955
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.26889
Angry,(0.7/ 0.9/ 0.5), (-0.6/ 0.9/ 0.6), (0.1/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.296
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
