Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(0.7/ 0.8/ -0.1), (0.5/ 1.3/ -0.1), (0.3/ 0.1/ 0.1), (0.4/ 0.1/ 0.1), (0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.68102
Fearful,(0.6/ 0.8/ -0.1), (0.6/ 1.2/ 0.0), (0.3/ 0.1/ 0.1), (0.4/ 0.1/ 0.1), (0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.46548
Fearful,(0.5/ 0.8/ 0.0), (0.5/ 1.2/ 0.0), (0.3/ 0.1/ 0.1), (0.4/ 0.1/ 0.1), (0.5/ 1.4/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.1764
Fearful,(0.4/ 0.9/ -0.1), (0.5/ 1.2/ 0.0), (0.3/ 0.1/ 0.1), (0.4/ 0.1/ 0.1), (0.5/ 1.4/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.2123
Fearful,(0.4/ 0.9/ -0.1), (0.5/ 1.2/ 0.0), (0.3/ 0.1/ 0.1), (0.4/ 0.1/ 0.1), (0.5/ 1.4/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.47719
Fearful,(0.5/ 0.9/ 0.0), (0.4/ 1.1/ 0.1), (0.3/ 0.1/ 0.1), (0.2/ 0.1/ 0.2), (0.4/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.20388
Neutral,(0.4/ 1.0/ 0.4), (0.2/ 1.1/ 0.1), (0.4/ 0.1/ 0.0), (0.0/ 0.2/ 0.0), (0.3/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,24.2275
Fearful,(0.2/ 1.0/ 0.0), (0.4/ 1.1/ -0.2), (0.4/ 0.1/ 0.0), (0.5/ 0.1/ -0.4), (0.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.01108
Sad,(0.1/ 1.1/ -0.4), (0.4/ 1.1/ -0.3), (0.3/ 0.1/ -0.3), (0.5/ 0.1/ -0.3), (0.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.52067
Sad,(0.1/ 1.1/ -0.7), (0.3/ 1.1/ -0.4), (0.2/ 0.1/ -0.3), (0.3/ 0.1/ -0.3), (0.2/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.37121
Sad,(0.1/ 1.0/ -0.7), (0.2/ 1.1/ -0.5), (0.1/ 0.1/ -0.3), (0.0/ 0.1/ -0.5), (0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.88789
Sad,(-0.1/ 1.1/ -0.9), (0.0/ 1.1/ -0.5), (0.0/ 0.1/ -0.4), (0.0/ 0.1/ -0.5), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.75152
Sad,(-0.2/ 1.0/ -0.9), (0.0/ 1.1/ -0.6), (-0.1/ 0.1/ -0.5), (0.0/ 0.1/ -0.5), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.61203
Sad,(-0.4/ 1.1/ -0.8), (-0.1/ 1.1/ -0.6), (-0.1/ 0.1/ -0.5), (0.0/ 0.1/ -0.5), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.80938
Sad,(-0.4/ 1.1/ -0.8), (-0.1/ 1.2/ -0.6), (-0.1/ 0.1/ -0.5), (0.0/ 0.1/ -0.5), (-0.2/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.19391
Sad,(-0.1/ 1.1/ -0.9), (0.0/ 1.2/ -0.6), (-0.1/ 0.1/ -0.5), (0.0/ 0.1/ -0.5), (-0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.19103
Sad,(-0.1/ 1.1/ -0.9), (0.1/ 1.2/ -0.6), (0.0/ 0.1/ -0.5), (0.0/ 0.1/ -0.5), (-0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.41006
Sad,(0.0/ 1.1/ -0.8), (0.2/ 1.2/ -0.5), (0.0/ 0.1/ -0.5), (0.0/ 0.1/ -0.5), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.63251
Sad,(0.1/ 1.1/ -0.9), (0.2/ 1.2/ -0.5), (0.0/ 0.1/ -0.5), (0.2/ 0.1/ -0.4), (0.2/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.33181
Sad,(0.1/ 1.1/ -0.8), (0.2/ 1.2/ -0.5), (0.0/ 0.1/ -0.5), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.79106
Sad,(0.0/ 1.1/ -0.8), (0.2/ 1.2/ -0.5), (0.0/ 0.1/ -0.5), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.42558
Sad,(0.2/ 1.1/ -0.9), (0.1/ 1.2/ -0.6), (0.0/ 0.1/ -0.5), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.91138
Sad,(0.2/ 1.2/ -0.9), (0.2/ 1.2/ -0.5), (0.0/ 0.1/ -0.5), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.77065
Sad,(0.1/ 1.2/ -0.9), (0.2/ 1.2/ -0.5), (0.0/ 0.1/ -0.5), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.13008
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.06932
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27459
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27459
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27459
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27459
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27459
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27459
Sad,(0.2/ 1.2/ -0.9), (0.1/ 1.2/ -0.5), (0.0/ 0.1/ -0.4), (0.2/ 0.1/ -0.4), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.27459
