Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Surprised,(-0.3/ 1.4/ 0.0), (0.1/ 1.3/ -0.3), (-0.5/ 0.1/ -0.1), (-0.4/ 0.1/ -0.2), (-0.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.42365
Surprised,(-0.3/ 1.4/ 0.0), (0.1/ 1.3/ -0.3), (-0.5/ 0.1/ -0.1), (-0.4/ 0.1/ -0.2), (-0.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.55213
Surprised,(-0.3/ 1.3/ -0.2), (0.0/ 1.2/ -0.5), (-0.5/ 0.1/ -0.1), (-0.4/ 0.1/ -0.2), (-0.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.38492
Sad,(-0.3/ 1.3/ -0.3), (-0.3/ 1.1/ -0.6), (-0.3/ 0.1/ 0.0), (-0.4/ 0.1/ -0.2), (-0.4/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.58689
Sad,(-0.4/ 1.3/ -0.3), (-0.8/ 1.1/ -0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ -0.1), (-0.4/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.703
Surprised,(-0.6/ 1.3/ -0.2), (-0.9/ 1.1/ 0.0), (-0.3/ 0.1/ -0.1), (-0.5/ 0.1/ -0.1), (-0.4/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.65369
Surprised,(-0.6/ 1.3/ -0.1), (-0.9/ 1.1/ 0.2), (-0.3/ 0.1/ -0.1), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.47014
Surprised,(-0.7/ 1.4/ -0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ -0.1), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.19693
Surprised,(-0.6/ 1.4/ -0.2), (-1.0/ 1.1/ 0.0), (-0.4/ 0.1/ -0.1), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.1902
Surprised,(-0.5/ 1.4/ -0.2), (-0.9/ 1.1/ -0.1), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.53287
Surprised,(-0.5/ 1.4/ -0.1), (-0.9/ 1.1/ -0.1), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.48685
Surprised,(-0.5/ 1.4/ -0.1), (-0.9/ 1.1/ 0.0), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.39304
Surprised,(-0.5/ 1.4/ -0.2), (-0.9/ 1.1/ -0.1), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.0), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.44125
Surprised,(-0.5/ 1.4/ -0.2), (-0.9/ 1.1/ -0.1), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.0), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.32124
Surprised,(-0.6/ 1.3/ -0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.14324
Surprised,(-0.6/ 1.3/ -0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.21833
Surprised,(-0.6/ 1.3/ -0.1), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.50433
Surprised,(-0.6/ 1.3/ 0.0), (-0.7/ 1.1/ 0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.22176
