Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
Sad,(-0.8/ 0.9/ 0.3), (-0.6/ 0.7/ 0.1), (-0.5/ 0.1/ -0.6), (-0.4/ 0.2/ -0.6), (-0.4/ 0.6/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,50.47267
