Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-4.7/ 0.8/ -0.2), (-5.3/ 1.2/ 0.1), (-4.6/ 0.1/ 0.1), (-4.9/ 0.1/ -0.1), (-4.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,325.27
Sad,(-4.6/ 0.9/ -0.2), (-5.2/ 1.0/ 0.1), (-4.6/ 0.1/ 0.0), (-4.9/ 0.1/ -0.1), (-4.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,322.7123
Sad,(-4.6/ 0.9/ -0.1), (-5.1/ 0.8/ 0.2), (-4.7/ 0.1/ 0.1), (-4.9/ 0.1/ -0.1), (-4.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,321.0231
Sad,(-4.7/ 0.9/ -0.2), (-5.1/ 0.8/ 0.3), (-4.7/ 0.1/ 0.1), (-4.9/ 0.1/ -0.1), (-4.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,324.4409
Sad,(-4.7/ 0.9/ -0.3), (-5.1/ 0.9/ 0.2), (-4.8/ 0.1/ 0.1), (-4.9/ 0.1/ -0.1), (-4.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,325.0846
Sad,(-5.0/ 0.9/ -0.3), (-5.2/ 0.9/ 0.1), (-4.8/ 0.1/ 0.0), (-4.9/ 0.1/ -0.1), (-4.9/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,334.099
Sad,(-5.2/ 1.0/ -0.2), (-5.3/ 1.0/ 0.1), (-4.8/ 0.1/ 0.0), (-5.0/ 0.1/ 0.0), (-5.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,339.8557
Sad,(-5.2/ 1.0/ -0.2), (-5.3/ 1.1/ 0.1), (-4.8/ 0.1/ 0.0), (-5.0/ 0.1/ 0.0), (-5.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,340.0619
Sad,(-5.1/ 1.0/ -0.3), (-5.3/ 1.0/ 0.0), (-4.8/ 0.1/ 0.0), (-5.0/ 0.1/ 0.0), (-5.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,338.9063
Sad,(-5.1/ 1.0/ -0.5), (-5.3/ 1.0/ 0.0), (-4.8/ 0.1/ 0.0), (-5.0/ 0.1/ 0.0), (-5.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,338.7714
Sad,(-5.1/ 1.0/ -0.5), (-5.3/ 1.1/ 0.1), (-4.8/ 0.1/ 0.0), (-5.0/ 0.1/ 0.0), (-5.0/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,339.0687
