Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.3/ 1.2/ 0.1), (0.0/ 1.2/ 0.6), (0.5/ 0.1/ 0.4), (0.6/ 0.1/ 0.8), (0.5/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.07294
Angry,(0.4/ 1.1/ 0.1), (0.0/ 1.2/ 0.5), (0.5/ 0.1/ 0.4), (0.6/ 0.1/ 0.8), (0.5/ 1.4/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.193
Angry,(0.6/ 1.1/ 0.2), (0.0/ 1.1/ 0.4), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.4/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.29908
Angry,(0.5/ 1.1/ 0.2), (-0.1/ 1.1/ 0.5), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.4/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.28085
Angry,(0.5/ 1.1/ 0.2), (-0.1/ 1.1/ 0.5), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.4/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.02425
Angry,(0.4/ 1.1/ 0.2), (-0.1/ 1.1/ 0.5), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.4/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.94269
Angry,(0.4/ 1.1/ 0.2), (-0.1/ 1.1/ 0.6), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.4/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.0178
Angry,(0.4/ 1.1/ 0.2), (-0.1/ 1.1/ 0.6), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.4/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,46.9465
Angry,(0.4/ 1.1/ 0.2), (0.0/ 1.1/ 0.6), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.37466
Angry,(0.4/ 1.1/ 0.2), (0.0/ 1.1/ 0.6), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.0172
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.4/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,47.70522
Angry,(0.4/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.01818
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.25039
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.32635
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.26768
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.31664
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.4), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,48.63874
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.19845
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.36882
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.16904
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.16829
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.53147
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.78984
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.60524
Angry,(0.3/ 1.1/ 0.2), (0.0/ 1.1/ 0.7), (0.5/ 0.1/ 0.5), (0.5/ 0.1/ 0.9), (0.5/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,49.58511
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
