Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Neutral,(1.4/ 1.3/ 0.6), (1.5/ 1.0/ 0.2), (1.2/ 0.1/ 0.5), (1.3/ 0.1/ 0.4), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.47943
Neutral,(1.4/ 1.3/ 0.6), (1.5/ 1.0/ 0.2), (1.2/ 0.1/ 0.5), (1.3/ 0.1/ 0.4), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.82511
Neutral,(1.3/ 1.3/ 0.6), (1.6/ 0.9/ 0.3), (1.3/ 0.1/ 0.4), (1.3/ 0.1/ 0.4), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,95.38257
Neutral,(1.1/ 1.3/ 0.5), (1.6/ 0.9/ 0.4), (1.3/ 0.1/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.45137
Neutral,(1.2/ 1.2/ 0.4), (1.5/ 0.9/ 0.5), (1.3/ 0.1/ 0.4), (1.4/ 0.1/ 0.6), (1.3/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,95.05252
Neutral,(1.3/ 1.2/ 0.2), (1.4/ 0.9/ 0.4), (1.4/ 0.1/ 0.4), (1.4/ 0.1/ 0.6), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.19916
Neutral,(1.3/ 1.3/ 0.1), (1.4/ 0.9/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.92313
Neutral,(1.3/ 1.1/ 0.2), (1.4/ 1.0/ 0.3), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.19862
Neutral,(1.3/ 1.1/ 0.2), (1.4/ 1.0/ 0.3), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.98841
Neutral,(1.3/ 1.1/ 0.2), (1.4/ 1.0/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.96103
Neutral,(1.3/ 1.1/ 0.2), (1.4/ 1.0/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.94421
Neutral,(1.3/ 1.1/ 0.2), (1.4/ 1.0/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.10784
Neutral,(1.3/ 1.2/ 0.2), (1.4/ 1.0/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.30711
Neutral,(1.3/ 1.1/ 0.2), (1.4/ 0.9/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.17886
Neutral,(1.3/ 1.2/ 0.2), (1.4/ 1.0/ 0.4), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.3/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.61891
Neutral,(1.4/ 1.2/ 0.1), (1.4/ 0.9/ 0.3), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.5), (1.4/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.77363
Sad,(1.4/ 1.2/ 0.0), (1.4/ 0.9/ 0.1), (1.4/ 0.1/ 0.4), (1.3/ 0.1/ 0.2), (1.3/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.26344
Sad,(1.3/ 1.2/ -0.2), (1.3/ 0.9/ 0.0), (1.4/ 0.1/ -0.1), (1.3/ 0.1/ 0.2), (1.3/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.60757
Sad,(1.3/ 1.2/ -0.4), (1.4/ 0.9/ -0.2), (1.4/ 0.1/ -0.2), (1.3/ 0.1/ 0.1), (1.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.13018
Sad,(1.3/ 1.2/ -0.6), (1.4/ 0.9/ -0.3), (1.4/ 0.1/ -0.2), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.82793
Sad,(1.3/ 1.1/ -0.7), (1.3/ 0.9/ -0.5), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.56831
Sad,(1.3/ 1.2/ -0.7), (1.4/ 0.9/ -0.5), (1.4/ 0.1/ -0.6), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.28047
Sad,(1.3/ 1.2/ -0.8), (1.4/ 1.0/ -0.5), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.07977
Sad,(1.3/ 1.1/ -0.8), (1.4/ 1.0/ -0.6), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.96059
Sad,(1.3/ 1.1/ -0.8), (1.4/ 1.0/ -0.6), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.87766
Sad,(1.3/ 1.1/ -0.8), (1.4/ 1.0/ -0.5), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.00842
Sad,(1.3/ 1.1/ -0.8), (1.4/ 0.9/ -0.6), (1.4/ 0.1/ -0.5), (1.3/ 0.1/ -0.4), (1.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.55891
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
