Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.1/ 1.1/ -0.6), (0.1/ 1.2/ -1.0), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.08107
Sad,(0.1/ 1.1/ -0.6), (0.0/ 1.1/ -1.0), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.23565
Sad,(0.1/ 1.1/ -0.6), (0.0/ 1.1/ -1.0), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.54247
Sad,(0.1/ 1.1/ -0.6), (-0.1/ 1.1/ -1.0), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.1495
Sad,(0.0/ 1.1/ -0.7), (-0.3/ 1.1/ -1.0), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.91721
Sad,(0.1/ 1.1/ -0.6), (-0.1/ 1.1/ -1.0), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.4), (0.0/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.39636
Sad,(0.0/ 1.1/ -0.4), (0.2/ 1.1/ -0.8), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.4), (-0.1/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.89294
Fearful,(0.0/ 1.1/ -0.3), (0.3/ 1.1/ -0.7), (-0.2/ 0.1/ -0.6), (-0.1/ 0.1/ -0.3), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.79892
Sad,(0.1/ 1.1/ -0.4), (0.0/ 1.1/ -0.9), (-0.2/ 0.1/ -0.6), (0.0/ 0.1/ -0.3), (0.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.61026
Fearful,(0.1/ 1.1/ -0.4), (-0.1/ 1.1/ -0.8), (-0.1/ 0.1/ -0.5), (0.0/ 0.1/ -0.3), (0.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.01456
Fearful,(0.2/ 1.1/ -0.4), (0.1/ 1.1/ -0.8), (0.2/ 0.1/ -0.5), (0.0/ 0.1/ -0.3), (0.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.96479
Sad,(0.4/ 1.1/ -0.5), (0.3/ 1.1/ -0.9), (0.2/ 0.1/ -0.5), (0.3/ 0.1/ -0.4), (0.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.28668
Sad,(0.6/ 1.1/ -0.5), (0.4/ 1.1/ -0.9), (0.2/ 0.1/ -0.5), (0.7/ 0.1/ -0.4), (0.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.30361
Sad,(0.8/ 1.1/ -0.4), (0.7/ 1.1/ -0.8), (0.5/ 0.2/ -0.5), (0.7/ 0.1/ -0.4), (0.6/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.94366
Sad,(0.9/ 1.1/ -0.5), (1.1/ 1.1/ -0.9), (0.8/ 0.1/ -0.7), (0.7/ 0.1/ -0.4), (0.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.50874
Sad,(1.0/ 1.1/ -0.5), (1.2/ 1.1/ -0.9), (0.8/ 0.1/ -0.7), (0.7/ 0.1/ -0.4), (0.9/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.70719
Sad,(0.8/ 1.1/ -0.4), (1.2/ 1.1/ -0.5), (0.8/ 0.1/ -0.7), (0.6/ 0.1/ -0.4), (0.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.31734
Sad,(0.5/ 1.1/ -0.4), (0.8/ 1.1/ -0.1), (0.8/ 0.1/ -0.6), (0.6/ 0.1/ -0.5), (0.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.63714
Sad,(0.4/ 1.1/ -0.4), (0.4/ 1.1/ 0.0), (0.5/ 0.1/ -0.3), (0.6/ 0.1/ -0.5), (0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.04819
Sad,(0.3/ 1.1/ -0.4), (0.1/ 1.1/ 0.0), (0.5/ 0.1/ -0.3), (0.4/ 0.1/ -0.4), (0.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.31144
Sad,(0.2/ 1.1/ -0.5), (0.0/ 1.1/ -0.1), (0.5/ 0.1/ -0.3), (0.1/ 0.1/ -0.6), (0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.65917
Sad,(0.0/ 1.1/ -0.6), (-0.1/ 1.1/ -0.2), (0.3/ 0.2/ -0.5), (0.1/ 0.1/ -0.6), (0.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.16687
Sad,(-0.2/ 1.1/ -0.7), (-0.3/ 1.1/ -0.3), (-0.1/ 0.1/ -0.7), (0.1/ 0.1/ -0.6), (-0.1/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.04068
Sad,(-0.4/ 1.1/ -0.8), (-0.5/ 1.1/ -0.4), (-0.1/ 0.1/ -0.7), (-0.2/ 0.1/ -0.8), (-0.3/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.6082
Sad,(-0.5/ 1.1/ -1.0), (-0.6/ 1.1/ -0.5), (-0.1/ 0.1/ -0.7), (-0.6/ 0.1/ -1.0), (-0.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.23765
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.0/ 1.2/ -1.7), (-1.2/ 1.2/ -1.1), (-0.7/ 0.1/ -1.2), (-0.8/ 0.1/ -1.4), (-0.8/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.23685
Sad,(-1.0/ 1.2/ -1.7), (-1.1/ 1.2/ -1.1), (-0.7/ 0.1/ -1.2), (-0.8/ 0.1/ -1.4), (-0.8/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.07444
Sad,(-1.0/ 1.1/ -1.5), (-0.8/ 1.1/ -0.9), (-0.7/ 0.1/ -1.2), (-0.8/ 0.1/ -1.4), (-0.8/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.14716
Sad,(-1.2/ 1.1/ -1.3), (-0.9/ 1.1/ -0.8), (-0.8/ 0.1/ -1.3), (-0.8/ 0.1/ -1.4), (-0.9/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.00912
Sad,(-1.3/ 1.1/ -1.2), (-0.9/ 1.1/ -0.8), (-0.8/ 0.1/ -1.3), (-1.3/ 0.1/ -1.2), (-1.0/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,66.94837
Sad,(-1.5/ 1.1/ -1.1), (-1.0/ 1.1/ -0.8), (-1.0/ 0.2/ -1.2), (-1.3/ 0.1/ -1.2), (-1.2/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.14806
Sad,(-1.6/ 1.1/ -1.0), (-1.1/ 1.1/ -0.7), (-1.3/ 0.1/ -0.9), (-1.3/ 0.1/ -1.2), (-1.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.31115
Sad,(-1.7/ 1.1/ -0.8), (-1.2/ 1.1/ -0.5), (-1.4/ 0.1/ -0.9), (-1.3/ 0.1/ -1.2), (-1.4/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.43895
Sad,(-1.7/ 1.1/ -0.7), (-1.2/ 1.1/ -0.4), (-1.4/ 0.1/ -0.9), (-1.6/ 0.1/ -0.7), (-1.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.72722
Sad,(-1.8/ 1.1/ -0.4), (-1.3/ 1.1/ -0.2), (-1.4/ 0.2/ -0.8), (-1.6/ 0.1/ -0.6), (-1.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.72739
Sad,(-1.9/ 1.1/ -0.5), (-1.5/ 1.1/ -0.1), (-1.5/ 0.1/ -0.6), (-1.6/ 0.1/ -0.6), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.1928
Sad,(-1.8/ 1.1/ -0.3), (-1.4/ 1.1/ -0.1), (-1.5/ 0.1/ -0.6), (-1.6/ 0.1/ -0.6), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,86.70324
Sad,(-1.8/ 1.1/ -0.4), (-1.5/ 1.1/ 0.0), (-1.5/ 0.1/ -0.6), (-1.6/ 0.1/ -0.6), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.51144
Sad,(-1.9/ 1.1/ -0.6), (-1.8/ 1.1/ -0.1), (-1.5/ 0.1/ -0.6), (-1.8/ 0.1/ -0.7), (-1.6/ 1.4/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,95.92654
Sad,(-2.1/ 1.1/ -0.7), (-2.0/ 1.1/ -0.3), (-1.5/ 0.2/ -0.6), (-1.9/ 0.1/ -0.8), (-1.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.5258
Sad,(-2.3/ 1.1/ -0.8), (-2.2/ 1.1/ -0.3), (-2.2/ 0.1/ -0.6), (-1.9/ 0.1/ -0.8), (-2.1/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.8178
Sad,(-2.6/ 1.1/ -0.7), (-2.5/ 1.1/ -0.2), (-2.2/ 0.1/ -0.6), (-2.4/ 0.1/ -0.7), (-2.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.0134
Sad,(-3.0/ 1.1/ -0.5), (-2.7/ 1.1/ -0.1), (-2.4/ 0.2/ -0.6), (-2.8/ 0.1/ -0.5), (-2.7/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,167.8754
Sad,(-3.2/ 1.1/ -0.3), (-2.9/ 1.1/ 0.1), (-3.0/ 0.2/ -0.2), (-2.8/ 0.1/ -0.5), (-2.9/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,188.9623
Sad,(-3.3/ 1.1/ -0.1), (-3.0/ 1.1/ 0.2), (-3.0/ 0.1/ -0.2), (-3.1/ 0.1/ -0.4), (-3.1/ 1.4/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,196.5775
Sad,(-3.3/ 1.0/ -0.1), (-2.8/ 1.1/ 0.0), (-3.0/ 0.1/ -0.2), (-3.2/ 0.1/ -0.4), (-3.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,193.7893
Sad,(-3.2/ 1.0/ -0.1), (-2.8/ 1.1/ -0.1), (-3.0/ 0.1/ -0.2), (-3.2/ 0.1/ -0.4), (-3.1/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,191.1607
Sad,(-3.1/ 1.0/ -0.1), (-2.7/ 1.1/ -0.2), (-3.0/ 0.1/ -0.2), (-3.1/ 0.1/ -0.4), (-3.1/ 1.4/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,187.6884
Sad,(-3.1/ 1.0/ -0.1), (-2.7/ 1.0/ -0.3), (-3.0/ 0.1/ -0.2), (-3.1/ 0.1/ -0.4), (-3.1/ 1.4/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,186.4283
Sad,(-3.1/ 1.0/ -0.2), (-2.7/ 1.0/ -0.4), (-3.0/ 0.1/ -0.2), (-3.1/ 0.1/ -0.4), (-3.0/ 1.4/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,186.0887
Sad,(-3.1/ 1.0/ -0.2), (-2.7/ 1.0/ -0.4), (-3.0/ 0.1/ -0.2), (-3.1/ 0.1/ -0.4), (-3.0/ 1.4/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,185.9868
Sad,(-3.1/ 1.0/ -0.2), (-2.7/ 1.0/ -0.3), (-3.0/ 0.1/ -0.2), (-3.1/ 0.1/ -0.4), (-3.0/ 1.4/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,185.8602
Sad,(-3.1/ 1.0/ -0.2), (-2.7/ 1.0/ -0.2), (-3.0/ 0.1/ -0.2), (-3.1/ 0.1/ -0.4), (-3.0/ 1.4/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,186.751
Sad,(-3.2/ 1.1/ -0.2), (-2.9/ 1.1/ 0.1), (-2.6/ 0.2/ -0.4), (-3.1/ 0.1/ -0.4), (-3.0/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,186.7843
Sad,(-2.9/ 1.1/ -0.3), (-2.7/ 1.1/ 0.0), (-2.5/ 0.1/ -0.5), (-2.9/ 0.1/ -0.6), (-2.7/ 1.4/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,170.3608
Sad,(-2.8/ 1.1/ -0.5), (-2.6/ 1.1/ -0.2), (-2.5/ 0.1/ -0.5), (-2.4/ 0.1/ -0.8), (-2.6/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,158.5326
Sad,(-2.7/ 1.1/ -0.6), (-2.6/ 1.2/ -0.3), (-2.3/ 0.1/ -0.6), (-2.4/ 0.1/ -0.8), (-2.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,152.6621
Sad,(-2.7/ 1.1/ -0.6), (-2.6/ 1.1/ -0.3), (-2.3/ 0.1/ -0.6), (-2.4/ 0.1/ -0.8), (-2.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.877
Sad,(-2.7/ 1.1/ -0.6), (-2.5/ 1.1/ -0.3), (-2.3/ 0.1/ -0.6), (-2.4/ 0.1/ -0.8), (-2.4/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.4398
Sad,(-2.6/ 1.1/ -0.6), (-2.4/ 1.1/ -0.1), (-2.1/ 0.1/ -0.4), (-2.4/ 0.1/ -0.8), (-2.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,143.3726
Sad,(-2.3/ 1.1/ -0.7), (-2.5/ 1.1/ -0.2), (-2.1/ 0.1/ -0.4), (-2.2/ 0.1/ -0.7), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.3226
Sad,(-2.2/ 1.1/ -0.9), (-2.4/ 1.1/ -0.5), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.8), (-2.1/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,127.4274
Sad,(-2.2/ 1.1/ -0.9), (-2.4/ 1.1/ -0.5), (-1.9/ 0.1/ -0.5), (-2.0/ 0.1/ -0.8), (-2.0/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,123.2791
Sad,(-2.1/ 1.1/ -0.7), (-2.2/ 1.1/ -0.3), (-1.9/ 0.1/ -0.5), (-1.7/ 0.1/ -0.5), (-1.9/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.873
Sad,(-1.9/ 1.1/ -0.8), (-2.0/ 1.1/ -0.3), (-1.9/ 0.1/ -0.5), (-1.5/ 0.1/ -0.6), (-1.7/ 1.4/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.4352
Sad,(-1.8/ 1.1/ -0.9), (-2.0/ 1.1/ -0.5), (-1.8/ 0.1/ -0.5), (-1.5/ 0.1/ -0.6), (-1.6/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.7252
Sad,(-1.8/ 1.1/ -1.0), (-2.0/ 1.1/ -0.6), (-1.7/ 0.1/ -0.8), (-1.5/ 0.1/ -0.6), (-1.7/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.4579
Sad,(-1.9/ 1.1/ -1.1), (-2.1/ 1.1/ -0.6), (-1.7/ 0.1/ -0.8), (-1.7/ 0.1/ -1.0), (-1.8/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.6484
Sad,(-2.0/ 1.0/ -1.1), (-2.0/ 1.0/ -0.6), (-1.8/ 0.1/ -0.8), (-1.8/ 0.1/ -1.0), (-1.9/ 1.4/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.2958
Sad,(-2.1/ 1.1/ -1.1), (-2.2/ 1.1/ -0.6), (-2.0/ 0.1/ -0.7), (-1.8/ 0.1/ -1.0), (-2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.0512
Sad,(-2.1/ 1.1/ -0.9), (-2.3/ 1.1/ -0.5), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.0/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.9772
Sad,(-2.2/ 1.1/ -0.8), (-2.2/ 1.0/ -0.4), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.0/ 1.4/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.4883
Sad,(-2.1/ 1.1/ -0.9), (-2.2/ 1.0/ -0.4), (-2.0/ 0.1/ -0.7), (-2.0/ 0.1/ -0.9), (-2.0/ 1.4/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.2898
Sad,(-2.2/ 1.1/ -1.0), (-2.3/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-2.0/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.1987

CAMINO 2
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-2.2/ 1.1/ -0.9), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-2.0/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.0923
Sad,(-2.2/ 1.1/ -1.0), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-2.0/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.8213
Sad,(-2.2/ 1.1/ -1.0), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.7831
Sad,(-2.2/ 1.0/ -1.0), (-2.4/ 1.0/ -0.5), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.5348
Sad,(-2.1/ 1.0/ -1.0), (-2.3/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.1907
Sad,(-2.2/ 1.0/ -1.0), (-2.4/ 1.0/ -0.6), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.9764
Sad,(-2.2/ 1.0/ -1.0), (-2.3/ 1.0/ -0.5), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.6519
Sad,(-2.2/ 1.0/ -0.9), (-2.3/ 1.0/ -0.5), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.0505
Sad,(-2.2/ 1.0/ -0.9), (-2.3/ 1.0/ -0.5), (-2.0/ 0.1/ -0.7), (-1.9/ 0.1/ -0.9), (-2.1/ 1.4/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.2256
