Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
Fearful,(-0.7/ 0.4/ -0.1), (0.7/ 0.4/ -0.1), (-0.1/ -0.9/ 0.0), (0.1/ -0.9/ 0.0), (0.0/ 0.6/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.32537
