Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.0/ 1.2/ -0.5), (-1.3/ 1.3/ 0.0), (-0.9/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.2033
Sad,(-1.0/ 1.3/ -0.5), (-1.3/ 1.2/ 0.1), (-0.9/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.8/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,55.72725
Sad,(-1.0/ 1.3/ -0.4), (-1.2/ 1.0/ 0.1), (-0.9/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.9/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.4865
Sad,(-1.2/ 1.3/ -0.4), (-1.3/ 1.0/ 0.1), (-1.2/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-1.0/ 1.4/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.71656
Sad,(-1.3/ 1.3/ -0.5), (-1.4/ 1.0/ 0.0), (-1.2/ 0.1/ -0.2), (-1.2/ 0.1/ -0.1), (-1.2/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.05968
Sad,(-1.4/ 1.4/ -0.5), (-1.7/ 1.0/ -0.1), (-1.3/ 0.2/ -0.2), (-1.4/ 0.1/ -0.2), (-1.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.90542
Sad,(-1.6/ 1.4/ -0.6), (-1.9/ 1.0/ -0.3), (-1.8/ 0.1/ -0.6), (-1.4/ 0.1/ -0.2), (-1.6/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.61054
Sad,(-1.7/ 1.4/ -0.9), (-2.0/ 1.0/ -0.5), (-1.8/ 0.1/ -0.6), (-1.7/ 0.1/ -0.4), (-1.7/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.8322
Sad,(-1.7/ 1.2/ -1.1), (-2.2/ 1.0/ -0.7), (-1.9/ 0.1/ -0.6), (-2.0/ 0.1/ -0.8), (-1.9/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.7405
Sad,(-1.8/ 1.2/ -1.2), (-2.4/ 1.0/ -0.9), (-2.0/ 0.1/ -1.2), (-2.0/ 0.1/ -0.7), (-2.1/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.2334
Sad,(-1.8/ 1.2/ -1.4), (-2.3/ 1.1/ -1.3), (-2.1/ 0.1/ -1.3), (-2.0/ 0.2/ -0.8), (-2.0/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,125.5156
Sad,(-1.8/ 1.2/ -1.5), (-2.4/ 1.1/ -1.3), (-2.1/ 0.1/ -1.3), (-2.1/ 0.1/ -1.2), (-2.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,131.5768
Sad,(-2.0/ 1.4/ -1.6), (-2.4/ 1.0/ -1.4), (-2.1/ 0.1/ -1.3), (-2.1/ 0.1/ -1.2), (-2.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,135.125
Sad,(-2.1/ 1.4/ -1.6), (-2.4/ 1.0/ -1.3), (-2.1/ 0.1/ -1.3), (-2.1/ 0.1/ -1.2), (-2.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,136.8413
Sad,(-2.1/ 1.4/ -1.6), (-2.4/ 1.0/ -1.2), (-2.1/ 0.1/ -1.3), (-2.1/ 0.1/ -1.2), (-2.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,137.3581
Sad,(-2.2/ 1.4/ -1.6), (-2.4/ 1.1/ -1.2), (-2.1/ 0.1/ -1.3), (-2.1/ 0.1/ -1.2), (-2.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,137.8642
Sad,(-2.0/ 1.3/ -1.6), (-2.5/ 1.1/ -1.2), (-2.1/ 0.1/ -1.2), (-2.1/ 0.1/ -1.2), (-2.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,137.1465
