Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(-1.2/ 1.2/ 0.6), (-1.5/ 1.2/ 1.3), (-1.3/ 0.1/ 0.8), (-1.0/ 0.1/ 1.0), (-1.2/ 1.5/ 1.0), (-0.6/ 0.7/ 0.5), 0.3333333, 0.3333333,108.0922
Disgusted,(-1.2/ 1.2/ 0.6), (-1.5/ 1.2/ 1.3), (-1.3/ 0.1/ 0.8), (-1.0/ 0.1/ 1.0), (-1.2/ 1.5/ 1.0), (-0.6/ 0.7/ 0.5), 0.3333333, 0.3333333,108.3442
Disgusted,(-1.3/ 1.1/ 0.7), (-1.4/ 1.2/ 1.3), (-1.3/ 0.1/ 0.8), (-1.0/ 0.1/ 1.0), (-1.2/ 1.5/ 1.0), (-0.6/ 0.7/ 0.5), 0.3333333, 0.3333333,109.7305
Disgusted,(-1.3/ 1.1/ 0.7), (-1.4/ 1.2/ 1.3), (-1.3/ 0.1/ 0.8), (-1.0/ 0.1/ 1.0), (-1.2/ 1.5/ 1.0), (-0.6/ 0.7/ 0.5), 0.3333333, 0.3333333,109.9773
Disgusted,(-1.2/ 1.1/ 0.7), (-1.5/ 1.1/ 1.3), (-1.3/ 0.1/ 0.9), (-1.0/ 0.1/ 1.0), (-1.2/ 1.5/ 1.0), (-0.6/ 0.7/ 0.5), 0.3333333, 0.3333333,109.6171
Disgusted,(-1.2/ 1.2/ 0.7), (-1.5/ 1.1/ 1.3), (-1.4/ 0.1/ 0.9), (-1.0/ 0.1/ 1.0), (-1.2/ 1.5/ 1.0), (-0.6/ 0.7/ 0.5), 0.3333333, 0.3333333,110.4494
Disgusted,(-1.3/ 1.2/ 0.6), (-1.6/ 1.1/ 1.2), (-1.6/ 0.1/ 0.8), (-1.0/ 0.1/ 1.0), (-1.3/ 1.4/ 1.0), (-0.6/ 0.7/ 0.4), 0.3333333, 0.3333333,114.613
Neutral,(-1.5/ 1.1/ 0.6), (-1.7/ 1.1/ 1.2), (-1.6/ 0.1/ 0.9), (-1.0/ 0.1/ 1.0), (-1.4/ 1.4/ 0.9), (-0.6/ 0.7/ 0.4), 0.3333333, 0.3333333,118.5306
Neutral,(-1.6/ 1.2/ 0.6), (-1.7/ 1.1/ 1.3), (-1.6/ 0.1/ 0.9), (-1.5/ 0.1/ 1.1), (-1.5/ 1.5/ 0.9), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,126.8226
Neutral,(-1.7/ 1.1/ 0.7), (-1.8/ 1.1/ 1.3), (-1.6/ 0.1/ 0.9), (-1.5/ 0.1/ 1.1), (-1.6/ 1.5/ 1.0), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,133.8736
Neutral,(-1.7/ 1.2/ 0.7), (-1.9/ 1.1/ 1.4), (-1.7/ 0.1/ 0.9), (-1.5/ 0.1/ 1.1), (-1.6/ 1.5/ 1.1), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,138.3079
Happy,(-1.6/ 1.1/ 0.8), (-1.9/ 1.1/ 1.4), (-1.7/ 0.1/ 0.9), (-1.5/ 0.1/ 1.1), (-1.6/ 1.5/ 1.1), (-0.7/ 0.6/ 0.5), 0.3333333, 0.3333333,139.3229
Happy,(-1.6/ 1.1/ 0.7), (-1.9/ 1.1/ 1.4), (-1.7/ 0.1/ 0.9), (-1.5/ 0.1/ 1.1), (-1.6/ 1.4/ 1.1), (-0.7/ 0.6/ 0.5), 0.3333333, 0.3333333,136.5155
Neutral,(-1.7/ 1.1/ 0.6), (-2.0/ 1.1/ 1.3), (-1.8/ 0.1/ 0.9), (-1.5/ 0.1/ 1.1), (-1.7/ 1.4/ 1.0), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,138.8253
Neutral,(-1.8/ 1.1/ 0.5), (-2.0/ 1.1/ 1.2), (-1.8/ 0.1/ 0.9), (-1.5/ 0.2/ 1.1), (-1.8/ 1.5/ 0.9), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,140.3298
Neutral,(-1.9/ 1.1/ 0.5), (-2.0/ 1.1/ 1.2), (-1.9/ 0.1/ 0.9), (-1.5/ 0.2/ 1.1), (-1.8/ 1.5/ 0.8), (-0.7/ 0.6/ 0.3), 0.3333333, 0.3333333,140.0621
Neutral,(-1.9/ 1.2/ 0.6), (-2.1/ 1.1/ 1.2), (-1.9/ 0.1/ 0.9), (-1.8/ 0.1/ 1.1), (-1.8/ 1.5/ 0.9), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,147.1113
Neutral,(-1.9/ 1.2/ 0.7), (-2.2/ 1.1/ 1.3), (-1.9/ 0.1/ 0.9), (-1.8/ 0.1/ 1.2), (-1.9/ 1.5/ 1.0), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,152.9007
Neutral,(-1.9/ 1.2/ 0.8), (-2.3/ 1.1/ 1.4), (-1.9/ 0.1/ 0.9), (-1.8/ 0.1/ 1.2), (-1.9/ 1.5/ 1.1), (-0.7/ 0.5/ 0.4), 0.3333333, 0.3333333,155.5331
Neutral,(-1.9/ 1.2/ 0.8), (-2.3/ 1.1/ 1.4), (-1.9/ 0.1/ 0.9), (-1.8/ 0.1/ 1.2), (-1.9/ 1.5/ 1.1), (-0.7/ 0.5/ 0.4), 0.3333333, 0.3333333,156.073
Neutral,(-1.9/ 1.1/ 0.8), (-2.2/ 1.1/ 1.4), (-2.0/ 0.1/ 0.9), (-1.8/ 0.1/ 1.2), (-1.9/ 1.5/ 1.1), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,156.422
Neutral,(-2.1/ 1.3/ 0.7), (-2.2/ 1.1/ 1.3), (-2.1/ 0.1/ 0.8), (-1.8/ 0.1/ 1.2), (-1.9/ 1.5/ 1.0), (-0.7/ 0.6/ 0.4), 0.3333333, 0.3333333,156.555
Neutral,(-2.2/ 1.3/ 0.6), (-2.2/ 1.1/ 1.2), (-2.1/ 0.1/ 0.9), (-1.8/ 0.1/ 1.1), (-2.0/ 1.4/ 0.8), (-0.8/ 0.6/ 0.3), 0.3333333, 0.3333333,156.6265
Neutral,(-2.2/ 1.2/ 0.5), (-2.3/ 1.1/ 1.1), (-2.1/ 0.1/ 0.9), (-1.8/ 0.1/ 1.1), (-2.0/ 1.4/ 0.8), (-0.8/ 0.6/ 0.3), 0.3333333, 0.3333333,156.1273
Neutral,(-2.1/ 1.1/ 0.5), (-2.3/ 1.1/ 1.2), (-2.1/ 0.1/ 0.9), (-1.8/ 0.1/ 1.1), (-2.0/ 1.5/ 0.8), (-0.8/ 0.6/ 0.3), 0.3333333, 0.3333333,154.4342
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Neutral,(-2.0/ 1.1/ 0.7), (-2.4/ 1.2/ 1.2), (-2.1/ 0.1/ 1.0), (-1.9/ 0.1/ 1.2), (-2.0/ 1.5/ 1.0), (-0.7/ 0.5/ 0.4), 0.3333333, 0.3333333,160.7726
Neutral,(-2.0/ 1.1/ 0.7), (-2.4/ 1.2/ 1.2), (-2.1/ 0.1/ 1.0), (-1.9/ 0.1/ 1.2), (-2.0/ 1.5/ 1.0), (-0.7/ 0.5/ 0.4), 0.3333333, 0.3333333,160.8862
Neutral,(-2.0/ 1.1/ 0.7), (-2.4/ 1.1/ 1.2), (-2.1/ 0.1/ 1.0), (-1.9/ 0.1/ 1.2), (-2.0/ 1.5/ 1.0), (-0.8/ 0.5/ 0.4), 0.3333333, 0.3333333,161.1703
Neutral,(-2.0/ 1.1/ 0.7), (-2.5/ 1.1/ 1.2), (-2.1/ 0.1/ 1.0), (-1.9/ 0.1/ 1.2), (-2.0/ 1.5/ 1.0), (-0.8/ 0.5/ 0.4), 0.3333333, 0.3333333,161.9614
Neutral,(-2.0/ 1.1/ 0.7), (-2.5/ 1.1/ 1.1), (-2.3/ 0.1/ 0.7), (-1.9/ 0.1/ 1.2), (-2.1/ 1.4/ 1.0), (-0.8/ 0.5/ 0.4), 0.3333333, 0.3333333,163.3711
Sad,(-2.0/ 1.1/ 0.4), (-2.6/ 1.1/ 0.8), (-2.3/ 0.1/ 0.7), (-2.0/ 0.2/ 1.0), (-2.2/ 1.5/ 0.7), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,161.5737
Sad,(-2.1/ 1.1/ 0.1), (-2.7/ 1.1/ 0.5), (-2.3/ 0.1/ 0.7), (-2.3/ 0.1/ 0.3), (-2.3/ 1.5/ 0.4), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,157.7868
Sad,(-2.2/ 1.1/ -0.1), (-2.8/ 1.1/ 0.3), (-2.4/ 0.1/ 0.2), (-2.3/ 0.1/ 0.3), (-2.4/ 1.5/ 0.2), (-0.8/ 0.5/ 0.1), 0.3333333, 0.3333333,155.2069
Sad,(-2.2/ 1.1/ -0.2), (-2.7/ 1.1/ 0.2), (-2.4/ 0.1/ -0.1), (-2.3/ 0.1/ 0.3), (-2.3/ 1.4/ 0.1), (-0.8/ 0.5/ 0.0), 0.3333333, 0.3333333,149.246
Sad,(-2.0/ 1.1/ -0.4), (-2.6/ 1.1/ 0.0), (-2.4/ 0.1/ -0.1), (-2.2/ 0.1/ 0.1), (-2.2/ 1.5/ -0.1), (-0.8/ 0.6/ 0.0), 0.3333333, 0.3333333,138.5655
Sad,(-1.9/ 1.1/ -0.4), (-2.6/ 1.1/ -0.2), (-2.3/ 0.1/ -0.1), (-2.2/ 0.1/ -0.4), (-2.2/ 1.5/ -0.2), (-0.8/ 0.6/ -0.1), 0.3333333, 0.3333333,133.8058
Sad,(-2.0/ 1.1/ -0.8), (-2.7/ 1.1/ -0.5), (-2.3/ 0.2/ -0.4), (-2.1/ 0.1/ -0.4), (-2.2/ 1.5/ -0.5), (-0.8/ 0.5/ -0.2), 0.3333333, 0.3333333,133.8785
