Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.22539
Angry,(0.4/ 0.9/ 0.8), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.32412
Angry,(0.3/ 0.9/ 0.8), (-0.8/ 0.9/ 0.1), (-0.2/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.4202
Angry,(0.4/ 0.9/ 0.7), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.28049
Fearful,(0.8/ 0.9/ -0.2), (-0.1/ 0.9/ 0.8), (0.4/ -0.4/ 0.3), (0.3/ -0.4/ 0.4), (0.4/ 1.0/ 0.3), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,57.78875
Angry,(0.7/ 0.9/ 0.5), (-0.7/ 0.9/ 0.5), (0.1/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.32647
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.25686
Fearful,(0.8/ 0.9/ -0.1), (-0.1/ 0.9/ 0.8), (0.4/ -0.4/ 0.3), (0.3/ -0.4/ 0.4), (0.4/ 1.0/ 0.3), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,57.88795
Fearful,(0.8/ 0.9/ 0.0), (-0.3/ 0.9/ 0.8), (0.3/ -0.4/ 0.3), (0.2/ -0.4/ 0.4), (0.3/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.44955
Angry,(0.4/ 0.9/ 0.7), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.26766
Angry,(0.3/ 0.9/ 0.8), (-0.8/ 0.9/ 0.1), (-0.2/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.41404
Angry,(0.3/ 0.9/ 0.8), (-0.8/ 0.9/ 0.1), (-0.2/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.41581
Angry,(0.4/ 0.9/ 0.8), (-0.8/ 0.9/ 0.2), (-0.1/ -0.4/ 0.5), (-0.3/ -0.4/ 0.4), (-0.2/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.3166
Fearful,(0.2/ 0.9/ 0.8), (-0.8/ 0.9/ 0.0), (-0.2/ -0.4/ 0.4), (-0.4/ -0.4/ 0.3), (-0.3/ 1.0/ 0.4), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.2443
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.2/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.23466
Angry,(0.6/ 0.9/ 0.6), (-0.8/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.22442
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.25136
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.2581
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.5), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.27787
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.5), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.28912
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.4), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.27189
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (0.0/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.22072
Angry,(0.5/ 0.9/ 0.7), (-0.8/ 0.9/ 0.3), (-0.1/ -0.4/ 0.5), (-0.2/ -0.4/ 0.4), (-0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.1), 0.3333333, 0.3333333,58.2231
