Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.1/ 1.2/ -1.5), (-0.1/ 1.2/ -1.3), (0.2/ 0.1/ -1.2), (-0.1/ 0.1/ -1.2), (0.0/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.85472
Sad,(-0.1/ 1.2/ -1.5), (-0.1/ 1.1/ -1.3), (0.2/ 0.1/ -1.2), (-0.1/ 0.1/ -1.2), (0.0/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,68.12502
Sad,(-0.1/ 1.2/ -1.5), (-0.2/ 1.1/ -1.3), (0.2/ 0.1/ -1.2), (-0.1/ 0.1/ -1.2), (-0.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,67.66623
Sad,(-0.1/ 1.2/ -1.5), (-0.2/ 1.1/ -1.2), (0.1/ 0.1/ -1.2), (-0.1/ 0.1/ -1.2), (-0.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.66204
Sad,(-0.1/ 1.2/ -1.5), (-0.2/ 1.1/ -1.2), (0.1/ 0.1/ -1.2), (-0.1/ 0.1/ -1.2), (-0.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.89053
Sad,(-0.2/ 1.2/ -1.5), (-0.2/ 1.1/ -1.2), (0.1/ 0.1/ -1.3), (-0.1/ 0.1/ -1.2), (-0.1/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,65.7825
Sad,(-0.1/ 1.2/ -1.6), (-0.2/ 1.1/ -1.3), (0.1/ 0.1/ -1.5), (-0.1/ 0.1/ -1.2), (-0.1/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.11352
Sad,(0.0/ 1.2/ -1.7), (-0.2/ 1.1/ -1.5), (0.1/ 0.1/ -1.5), (-0.1/ 0.1/ -1.2), (-0.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.57423
Sad,(0.0/ 1.1/ -1.8), (-0.2/ 1.1/ -1.6), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.72495
Sad,(0.0/ 1.2/ -1.7), (-0.3/ 1.1/ -1.6), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.11797
Sad,(-0.1/ 1.2/ -1.8), (-0.4/ 1.1/ -1.5), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.74292
Sad,(-0.2/ 1.2/ -1.7), (-0.4/ 1.1/ -1.4), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.43646
Sad,(-0.2/ 1.2/ -1.7), (-0.4/ 1.1/ -1.4), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.68925
Sad,(-0.1/ 1.1/ -1.8), (-0.4/ 1.1/ -1.3), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.74616
Sad,(-0.2/ 1.2/ -1.8), (-0.4/ 1.1/ -1.4), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.1/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.65303
Sad,(-0.2/ 1.2/ -1.8), (-0.4/ 1.1/ -1.4), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.88232
Sad,(-0.1/ 1.3/ -1.7), (-0.4/ 1.2/ -1.5), (0.0/ 0.1/ -1.5), (-0.3/ 0.1/ -1.4), (-0.2/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.1484
