Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.1/ 0.8/ -0.7), (-0.2/ 1.3/ -0.7), (-0.4/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.02574
Sad,(-0.1/ 0.8/ -0.7), (-0.2/ 1.3/ -0.7), (-0.4/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.81149
Sad,(-0.1/ 0.8/ -0.7), (-0.2/ 1.2/ -0.7), (-0.4/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.87587
Sad,(0.0/ 0.8/ -0.7), (-0.2/ 1.2/ -0.7), (-0.4/ 0.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.03233
Sad,(0.0/ 0.8/ -0.7), (-0.1/ 1.2/ -0.7), (-0.4/ 0.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.42738
Sad,(0.0/ 0.8/ -0.8), (-0.1/ 1.2/ -0.7), (-0.4/ 0.1/ -0.6), (-0.2/ 0.1/ -1.0), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.88465
Sad,(0.0/ 0.8/ -0.8), (-0.1/ 1.2/ -0.7), (-0.4/ 0.1/ -0.6), (-0.2/ 0.1/ -1.0), (-0.1/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.3911
Sad,(0.0/ 0.8/ -0.8), (-0.2/ 1.2/ -0.7), (-0.4/ 0.1/ -0.7), (-0.2/ 0.1/ -1.0), (-0.1/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.14159
Sad,(0.0/ 0.8/ -0.7), (-0.2/ 1.2/ -0.7), (-0.4/ 0.1/ -0.7), (-0.2/ 0.1/ -1.0), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.72126
Sad,(0.0/ 0.8/ -0.7), (-0.2/ 1.2/ -0.7), (-0.4/ 0.1/ -0.7), (-0.2/ 0.1/ -1.0), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.36437
Sad,(0.0/ 0.8/ -0.7), (-0.2/ 1.2/ -0.7), (-0.4/ 0.1/ -0.7), (-0.1/ 0.1/ -1.1), (-0.1/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.76797
