Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Neutral,(-1.5/ 1.0/ 0.3), (-1.5/ 1.1/ 0.5), (-1.7/ 0.1/ 0.5), (-1.5/ 0.1/ 0.5), (-1.6/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.7576
Neutral,(-1.5/ 1.0/ 0.3), (-1.5/ 1.1/ 0.5), (-1.7/ 0.1/ 0.5), (-1.5/ 0.1/ 0.5), (-1.6/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.2782
Neutral,(-1.5/ 1.0/ 0.3), (-1.5/ 1.1/ 0.4), (-1.7/ 0.1/ 0.5), (-1.5/ 0.1/ 0.4), (-1.5/ 1.5/ 0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.607
Neutral,(-1.5/ 1.0/ 0.1), (-1.6/ 1.1/ 0.3), (-1.7/ 0.1/ 0.5), (-1.4/ 0.1/ 0.3), (-1.6/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.9098
Sad,(-1.6/ 1.0/ 0.1), (-1.7/ 1.1/ 0.2), (-1.5/ 0.1/ 0.1), (-1.4/ 0.1/ 0.3), (-1.6/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.2998
Sad,(-1.5/ 1.0/ -0.1), (-1.5/ 1.1/ 0.1), (-1.5/ 0.1/ 0.1), (-1.4/ 0.1/ 0.2), (-1.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.08887
Sad,(-1.4/ 1.0/ -0.2), (-1.5/ 1.1/ -0.1), (-1.5/ 0.1/ 0.1), (-1.3/ 0.1/ -0.2), (-1.4/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.97409
Sad,(-1.5/ 1.0/ -0.4), (-1.5/ 1.0/ -0.2), (-1.5/ 0.2/ 0.0), (-1.3/ 0.1/ -0.2), (-1.6/ 1.4/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.99691
Sad,(-1.5/ 1.0/ -0.6), (-1.6/ 1.1/ -0.5), (-1.5/ 0.1/ -0.7), (-1.3/ 0.1/ -0.2), (-1.6/ 1.4/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.39141
Sad,(-1.5/ 1.0/ -0.9), (-1.5/ 1.1/ -0.7), (-1.5/ 0.1/ -0.7), (-1.3/ 0.2/ -0.7), (-1.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.8288
Sad,(-1.5/ 1.0/ -1.1), (-1.6/ 1.1/ -0.9), (-1.5/ 0.1/ -0.7), (-1.5/ 0.1/ -1.1), (-1.6/ 1.4/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.5638
Sad,(-1.7/ 1.0/ -1.4), (-1.8/ 1.1/ -1.2), (-1.8/ 0.1/ -1.5), (-1.5/ 0.1/ -1.1), (-1.7/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.9297
Sad,(-1.7/ 1.0/ -1.7), (-1.8/ 1.1/ -1.5), (-1.8/ 0.1/ -1.5), (-1.5/ 0.2/ -1.3), (-1.8/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.4547
Sad,(-1.8/ 1.0/ -1.9), (-1.9/ 1.1/ -1.7), (-1.8/ 0.1/ -1.5), (-1.8/ 0.1/ -1.8), (-1.8/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,131.3027
Sad,(-2.0/ 1.0/ -2.0), (-2.1/ 1.1/ -1.9), (-2.0/ 0.1/ -1.8), (-1.8/ 0.1/ -1.8), (-2.1/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.06
Sad,(-2.2/ 1.0/ -2.3), (-2.2/ 1.1/ -2.0), (-2.3/ 0.1/ -2.1), (-1.8/ 0.1/ -1.9), (-2.2/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,166.0352
Sad,(-2.1/ 1.0/ -2.1), (-2.2/ 1.1/ -1.9), (-2.3/ 0.1/ -2.1), (-1.8/ 0.1/ -1.9), (-2.2/ 1.4/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,160.3899
Sad,(-2.0/ 1.0/ -2.0), (-2.1/ 1.1/ -1.9), (-2.0/ 0.1/ -1.8), (-1.8/ 0.1/ -1.9), (-2.1/ 1.4/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.9093
Sad,(-1.9/ 1.0/ -2.0), (-2.0/ 1.1/ -1.9), (-2.0/ 0.1/ -1.8), (-1.8/ 0.1/ -1.9), (-1.9/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.152
Sad,(-1.9/ 1.0/ -2.1), (-2.1/ 1.1/ -2.0), (-2.0/ 0.1/ -1.8), (-1.8/ 0.1/ -2.0), (-1.9/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.5898
Sad,(-2.0/ 1.0/ -2.1), (-2.2/ 1.1/ -2.0), (-2.0/ 0.1/ -1.8), (-1.8/ 0.1/ -2.1), (-2.0/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,156.0565
Sad,(-2.0/ 1.0/ -1.9), (-2.2/ 1.1/ -1.8), (-1.9/ 0.1/ -1.8), (-1.8/ 0.1/ -1.8), (-2.0/ 1.4/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,145.4418
Sad,(-1.9/ 1.0/ -2.0), (-2.1/ 1.1/ -2.0), (-1.9/ 0.1/ -1.8), (-1.8/ 0.2/ -1.8), (-1.9/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.721
Sad,(-2.0/ 1.0/ -2.1), (-2.4/ 1.2/ -2.0), (-2.0/ 0.1/ -1.8), (-1.9/ 0.2/ -1.9), (-2.0/ 1.4/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,155.5047
Sad,(-1.9/ 1.0/ -2.1), (-2.4/ 1.1/ -1.9), (-2.0/ 0.1/ -1.8), (-1.9/ 0.2/ -1.9), (-2.0/ 1.4/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,154.9452
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.8/ 1.0/ -1.8), (-2.3/ 1.1/ -1.5), (-1.8/ 0.1/ -1.5), (-1.8/ 0.1/ -1.8), (-1.8/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,134.3006
Sad,(-1.8/ 1.0/ -1.8), (-2.2/ 1.1/ -1.4), (-1.8/ 0.1/ -1.5), (-1.8/ 0.1/ -1.8), (-1.8/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,133.581
Sad,(-1.7/ 1.0/ -1.8), (-2.2/ 1.1/ -1.5), (-1.8/ 0.1/ -1.5), (-1.8/ 0.1/ -1.7), (-1.7/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,131.1248
Sad,(-1.6/ 1.0/ -1.6), (-2.2/ 1.1/ -1.5), (-1.8/ 0.1/ -1.5), (-1.7/ 0.1/ -1.5), (-1.7/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,124.045
Sad,(-1.6/ 1.0/ -1.4), (-2.2/ 1.0/ -1.5), (-1.8/ 0.1/ -1.5), (-1.7/ 0.1/ -1.4), (-1.7/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.5775
Sad,(-1.6/ 1.0/ -1.4), (-2.2/ 1.0/ -1.5), (-1.7/ 0.1/ -1.2), (-1.7/ 0.1/ -1.4), (-1.7/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.8337
Sad,(-1.4/ 1.0/ -1.2), (-2.0/ 1.0/ -1.5), (-1.7/ 0.1/ -1.2), (-1.5/ 0.1/ -1.2), (-1.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.1964
Sad,(-1.2/ 1.0/ -1.3), (-1.8/ 1.1/ -1.6), (-1.7/ 0.1/ -1.2), (-1.2/ 0.1/ -1.4), (-1.4/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,97.71375
Sad,(-1.2/ 1.0/ -1.4), (-1.8/ 1.0/ -1.6), (-1.2/ 0.1/ -1.3), (-1.2/ 0.1/ -1.4), (-1.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.71724
Sad,(-1.0/ 1.0/ -1.4), (-1.6/ 1.1/ -1.5), (-1.2/ 0.1/ -1.3), (-1.1/ 0.1/ -1.4), (-1.1/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.93342
Sad,(-0.9/ 1.0/ -1.5), (-1.5/ 1.1/ -1.5), (-1.2/ 0.1/ -1.3), (-1.0/ 0.1/ -1.5), (-1.0/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.58464
Sad,(-0.9/ 1.0/ -1.5), (-1.5/ 1.1/ -1.5), (-1.2/ 0.1/ -1.3), (-1.0/ 0.1/ -1.5), (-1.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.58278
Sad,(-0.8/ 1.0/ -1.5), (-1.4/ 1.1/ -1.6), (-1.2/ 0.1/ -1.3), (-0.9/ 0.1/ -1.6), (-1.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.61636
Sad,(-0.8/ 1.0/ -1.6), (-1.3/ 1.0/ -1.8), (-1.1/ 0.1/ -1.3), (-0.8/ 0.1/ -1.6), (-0.9/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.52702
Sad,(-0.8/ 1.0/ -1.7), (-1.4/ 1.0/ -1.7), (-0.9/ 0.1/ -1.4), (-0.8/ 0.1/ -1.6), (-0.9/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,90.03853
Sad,(-0.7/ 1.0/ -1.7), (-1.2/ 1.1/ -1.5), (-0.7/ 0.1/ -1.4), (-0.8/ 0.1/ -1.6), (-0.8/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.08315
Sad,(-0.6/ 1.0/ -1.7), (-1.1/ 1.1/ -1.3), (-0.7/ 0.1/ -1.4), (-0.7/ 0.1/ -1.6), (-0.7/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.2641
Sad,(-0.8/ 1.0/ -1.7), (-1.2/ 1.1/ -1.2), (-0.8/ 0.1/ -1.4), (-0.9/ 0.1/ -1.5), (-0.8/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.81865
Sad,(-1.1/ 1.0/ -1.6), (-1.3/ 1.1/ -1.0), (-0.8/ 0.1/ -1.4), (-0.9/ 0.1/ -1.5), (-1.0/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.46455
Sad,(-1.1/ 1.0/ -1.6), (-1.3/ 1.1/ -1.1), (-0.8/ 0.1/ -1.4), (-0.9/ 0.1/ -1.5), (-1.0/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.31087
Sad,(-0.9/ 1.0/ -1.8), (-1.4/ 1.1/ -1.5), (-0.8/ 0.1/ -1.4), (-0.9/ 0.1/ -1.5), (-0.9/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.99677
Sad,(-0.6/ 1.0/ -1.7), (-1.2/ 1.1/ -1.7), (-0.8/ 0.1/ -1.4), (-0.8/ 0.1/ -1.5), (-0.7/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.33772
Sad,(-0.8/ 1.0/ -1.7), (-1.2/ 1.1/ -1.3), (-0.8/ 0.1/ -1.4), (-0.9/ 0.1/ -1.6), (-0.8/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.21172
Sad,(-1.1/ 1.0/ -1.7), (-1.0/ 1.1/ -1.1), (-0.8/ 0.1/ -1.5), (-1.0/ 0.1/ -1.6), (-0.9/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.98265
Sad,(-1.1/ 1.0/ -1.7), (-1.0/ 1.1/ -1.1), (-0.8/ 0.1/ -1.5), (-1.0/ 0.1/ -1.6), (-1.0/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.54391
Sad,(-1.0/ 1.0/ -1.7), (-1.1/ 1.1/ -1.1), (-0.8/ 0.1/ -1.5), (-1.0/ 0.1/ -1.6), (-0.9/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.93186
